Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-06-20,714.0,724.0,710.0,716.0,716.0,794.0,5.67
2012-06-21,701.05,728.0,700.0,715.0,715.75,1007.0,7.19
2012-06-22,710.0,725.0,710.0,715.05,715.05,284.0,2.04
2012-06-25,720.0,728.0,715.05,720.0,720.2,360.0,2.61
2012-06-26,717.0,727.9,710.25,715.1,715.1,217.0,1.56
2012-06-27,724.85,724.85,715.0,715.0,717.1,74.0,0.53
2012-06-28,720.0,726.0,702.25,703.05,704.85,829.0,5.9
2012-06-29,727.0,743.95,713.0,729.05,736.8,2439.0,17.76
2012-07-02,734.6,738.5,723.1,730.05,731.35,368.0,2.7
2012-07-03,730.0,733.5,720.0,728.0,722.5,359.0,2.6
2012-07-04,726.0,734.95,717.3,734.3,734.3,61.0,0.44
2012-07-05,720.0,750.0,720.0,726.05,727.2,914.0,6.7
2012-07-06,724.0,733.0,720.0,720.05,720.15,433.0,3.13
2012-07-09,640.0,734.95,640.0,734.9,728.2,117.0,0.84
2012-07-10,711.4,728.95,711.4,725.15,725.15,152.0,1.11
2012-07-11,714.0,722.85,711.9,720.0,720.35,396.0,2.85
2012-07-12,720.0,728.2,712.0,715.0,712.75,155.0,1.11
2012-07-13,726.7,727.0,710.5,717.95,712.2,181.0,1.3
2012-07-16,715.0,715.0,703.05,708.0,708.05,539.0,3.81
2012-07-17,715.0,717.5,709.0,709.0,709.75,620.0,4.41
2012-07-18,705.0,705.0,679.95,685.1,690.0,3701.0,25.58
2012-07-19,708.0,708.0,690.35,695.0,694.3,1041.0,7.23
2012-07-20,731.0,731.0,688.05,695.0,692.95,479.0,3.31
2012-07-23,690.0,690.0,685.1,685.25,686.1,290.0,2.0
2012-07-24,686.0,690.65,675.8,677.0,677.05,1341.0,9.11
2012-07-25,680.0,685.0,675.0,675.0,675.4,500.0,3.38
2012-07-26,695.0,695.0,678.0,679.0,679.0,1650.0,11.21
2012-07-27,679.0,699.95,666.05,687.95,687.95,84.0,0.58
2012-07-30,698.85,698.85,665.0,666.1,666.75,442.0,2.95
2012-07-31,666.0,666.0,643.0,645.05,645.45,634.0,4.12
2012-08-01,660.0,660.0,650.15,650.15,654.4,309.0,2.03
2012-08-02,780.0,780.0,665.0,675.0,674.05,104.0,0.7
2012-08-03,675.0,675.0,645.25,652.5,652.5,160.0,1.05
2012-08-06,674.0,694.0,660.0,682.0,676.75,1770.0,11.99
2012-08-07,679.9,679.95,668.35,670.0,670.0,103.0,0.7
2012-08-08,645.0,681.0,645.0,679.0,679.0,1195.0,8.02
2012-08-09,670.35,677.95,670.0,677.5,670.35,266.0,1.78
2012-08-10,680.0,682.0,670.05,675.95,672.7,734.0,4.99
2012-08-13,749.0,749.0,670.5,672.0,675.0,1520.0,10.47
2012-08-14,673.0,685.0,670.0,670.0,674.5,294.0,1.98
2012-08-16,678.95,678.95,670.0,670.0,670.0,455.0,3.09
2012-08-17,675.0,675.0,670.0,670.0,670.65,367.0,2.46
2012-08-21,679.0,679.0,670.0,670.0,670.4,510.0,3.42
2012-08-22,698.7,698.7,669.0,669.0,669.95,2678.0,17.98
2012-08-23,665.0,673.0,663.05,666.0,666.0,96.0,0.64
2012-08-24,675.0,675.0,657.0,669.9,667.05,560.0,3.75
2012-08-27,669.9,680.0,665.0,670.0,670.0,356.0,2.39
2012-08-28,655.05,680.0,643.0,643.0,651.3,3544.0,23.18
2012-08-29,665.0,665.0,641.1,653.8,645.15,186.0,1.22
2012-08-30,627.7,659.0,627.7,652.0,648.15,155.0,1.0
2012-08-31,650.0,670.0,643.0,643.0,646.05,118.0,0.77
2012-09-03,648.95,649.0,643.05,643.05,644.0,188.0,1.22
2012-09-04,643.0,643.0,634.7,635.0,635.1,622.0,3.96
2012-09-05,630.1,634.95,600.0,602.1,604.65,2508.0,15.31
2012-09-06,601.05,615.0,601.05,606.0,606.0,298.0,1.81
2012-09-07,615.0,630.0,610.0,610.0,610.05,271.0,1.67
2012-09-08,610.0,610.0,610.0,610.0,610.0,1.0,0.01
2012-09-10,674.85,674.85,585.65,605.1,607.6,1476.0,8.89
2012-09-11,610.0,645.0,591.0,616.05,620.65,2691.0,16.64
2012-09-12,625.0,639.0,616.5,616.5,616.5,448.0,2.79
2012-09-13,610.15,612.0,601.3,607.0,607.0,852.0,5.19
2012-09-14,620.0,630.0,611.3,625.0,624.0,670.0,4.17
2012-09-17,632.0,633.95,612.95,613.0,614.75,98.0,0.6
2012-09-18,629.95,640.0,608.0,640.0,633.5,425.0,2.67
2012-09-20,633.4,633.4,617.6,631.0,627.9,318.0,1.99
2012-09-21,639.95,639.95,620.0,626.0,626.3,1030.0,6.47
2012-09-24,625.0,639.95,615.1,631.0,631.0,493.0,3.11
2012-09-25,622.05,639.5,622.0,625.0,633.5,578.0,3.63
2012-09-26,625.05,635.0,620.0,630.0,629.7,1413.0,8.88
2012-09-27,634.0,634.0,630.0,630.0,630.0,140.0,0.88
2012-09-28,626.5,638.0,622.05,625.0,632.1,71.0,0.45
2012-10-01,625.0,640.0,625.0,630.15,630.15,647.0,4.1
2012-10-03,640.0,644.5,626.75,644.45,636.75,869.0,5.52
2012-10-04,640.0,669.0,640.0,659.0,659.85,2226.0,14.65
2012-10-05,644.0,651.0,635.0,650.0,650.0,1927.0,12.49
2012-10-08,658.0,669.0,645.0,649.95,649.25,708.0,4.61
2012-10-09,665.0,669.0,652.0,668.0,668.2,895.0,5.94
2012-10-10,665.0,667.8,643.5,665.0,659.1,1065.0,7.04
2012-10-11,663.95,663.95,645.65,648.2,648.3,88.0,0.57
2012-10-12,666.0,666.0,635.55,650.0,649.15,436.0,2.83
2012-10-15,653.95,653.95,647.0,648.05,649.85,70.0,0.45
2012-10-16,645.0,645.0,628.6,628.6,632.65,876.0,5.58
2012-10-17,643.0,643.0,621.55,635.0,626.0,959.0,6.03
2012-10-18,640.0,642.7,630.0,640.0,639.6,505.0,3.22
2012-10-19,637.0,639.85,617.0,621.0,627.5,711.0,4.46
2012-10-22,625.05,638.7,621.2,625.1,628.85,585.0,3.66
2012-10-23,629.0,629.0,629.0,629.0,629.0,35.0,0.22
2012-10-25,654.0,654.0,626.2,628.25,630.45,341.0,2.16
2012-10-26,625.0,630.0,618.95,621.85,620.85,616.0,3.84
2012-10-29,639.85,669.65,615.15,660.0,664.55,4356.0,28.4
2012-10-30,665.0,673.65,640.5,655.0,648.85,2071.0,13.66
2012-10-31,650.0,661.8,640.4,641.0,650.85,608.0,3.98
2012-11-01,648.5,659.55,641.35,654.05,655.75,317.0,2.06
2012-11-02,663.0,663.0,645.0,645.0,649.6,1047.0,6.88
2012-11-05,656.0,659.45,641.25,650.0,649.0,497.0,3.23
2012-11-06,665.0,665.0,643.2,645.0,645.0,1214.0,7.88
2012-11-07,650.0,655.0,646.0,647.95,647.35,1673.0,10.87
2012-11-08,656.95,656.95,640.1,650.0,650.0,669.0,4.34
2012-11-09,650.0,667.0,646.0,650.0,649.85,18094.0,118.46
2012-11-12,650.0,653.95,638.0,638.0,640.3,1203.0,7.74
2012-11-13,658.75,658.9,647.0,647.0,647.1,836.0,5.42
2012-11-15,649.95,650.0,641.55,650.0,650.0,2840.0,18.45
2012-11-16,650.0,650.0,644.0,644.0,649.15,4261.0,27.69
