Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-11-19,98.0,98.0,88.0,91.3,89.3,143757.0,132.09
2014-11-20,94.0,94.0,87.1,90.75,90.6,21415.0,19.42
2014-11-21,96.0,96.0,89.3,90.7,89.85,71516.0,64.33
2014-11-24,92.0,92.0,89.0,89.9,89.7,62821.0,56.55
2014-11-25,47.85,47.85,44.5,45.95,45.25,56211.0,25.52
2014-11-26,45.55,53.7,44.9,45.6,45.1,55774.0,25.4
2014-11-27,49.9,49.9,44.5,45.5,45.1,15801.0,7.15
2014-11-28,48.0,48.0,43.5,44.0,44.95,143677.0,65.7
2014-12-01,45.5,46.5,44.8,45.0,45.0,130794.0,59.21
2014-12-02,46.5,46.5,44.9,45.5,45.4,45951.0,20.77
2014-12-03,46.45,46.5,44.8,45.0,45.45,110248.0,49.92
2014-12-04,46.8,46.8,44.0,44.85,44.55,30561.0,13.73
2014-12-05,46.0,46.0,44.9,44.9,45.15,135409.0,61.18
2014-12-08,45.95,45.95,44.0,44.0,44.9,58545.0,26.37
2014-12-09,46.8,46.8,44.9,45.3,45.1,52106.0,23.58
2014-12-10,46.0,46.0,44.25,44.25,45.1,126009.0,56.93
2014-12-11,45.0,45.5,36.1,36.1,39.4,219235.0,91.21
2014-12-12,35.8,47.25,32.0,47.25,47.25,399555.0,169.49
2014-12-15,47.75,49.9,38.0,45.0,45.6,399890.0,175.53
2014-12-16,46.8,48.95,43.4,45.8,44.55,235984.0,104.63
2014-12-17,45.0,49.0,43.6,44.5,44.7,55627.0,24.99
2014-12-18,47.0,47.0,44.45,46.0,46.45,110624.0,50.19
2014-12-19,46.9,49.75,37.6,48.1,49.15,108415.0,52.19
2014-12-22,49.5,51.9,48.75,49.25,49.3,79293.0,39.05
2014-12-23,51.4,51.4,49.55,50.45,50.25,75438.0,37.84
2014-12-24,50.25,58.0,50.0,55.05,55.7,119859.0,64.92
2014-12-26,55.75,64.7,55.5,61.0,60.6,165604.0,98.56
2014-12-29,62.95,62.95,58.1,58.15,58.8,43571.0,26.2
2014-12-30,61.6,61.6,57.6,57.6,58.5,72722.0,42.51
2014-12-31,59.7,62.9,57.2,57.2,58.0,30338.0,18.03
2015-01-01,59.7,59.8,57.95,57.95,58.8,10308.0,6.06
2015-01-02,59.95,62.0,57.9,61.25,61.4,74772.0,44.15
2015-01-05,62.0,67.3,59.55,59.75,60.35,47952.0,29.79
2015-01-06,62.95,62.95,59.5,60.55,59.85,47416.0,28.59
2015-01-07,60.85,61.0,59.0,60.4,60.05,23928.0,14.42
2015-01-08,60.8,61.8,59.8,59.8,59.9,33656.0,20.31
