Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-10-12,380.0,453.8,380.0,402.25,405.7,27878164.0,118220.33
2010-10-13,350.0,416.9,350.0,406.0,406.5,3231661.0,13130.86
2010-10-14,407.0,410.5,395.35,396.8,399.4,633031.0,2561.81
2010-10-15,400.0,400.0,373.8,374.0,377.5,400759.0,1536.18
2010-10-18,379.35,384.5,350.5,363.0,364.8,205402.0,756.01
2010-10-19,364.25,401.0,360.35,378.95,378.85,770685.0,2966.23
2010-10-20,380.55,388.0,375.2,381.1,383.45,244695.0,935.8
2010-10-21,391.0,410.0,386.7,399.6,399.9,648063.0,2607.66
2010-10-22,400.0,406.4,391.35,391.55,393.75,143907.0,573.34
2010-10-25,396.9,401.5,383.35,383.5,385.1,79130.0,311.24
2010-10-26,384.0,394.8,378.0,384.0,383.6,122548.0,474.33
2010-10-27,383.8,389.0,379.5,382.7,382.85,44984.0,172.85
2010-10-28,383.0,395.4,380.0,388.0,388.45,136380.0,532.05
2010-10-29,388.0,392.0,386.0,388.0,389.15,99453.0,387.29
2010-11-01,397.15,437.0,391.0,428.0,424.55,1498245.0,6290.4
2010-11-02,428.4,432.0,415.0,416.4,417.0,277623.0,1173.39
2010-11-03,419.1,419.1,408.0,409.0,408.7,99563.0,408.35
2010-11-04,407.5,426.8,407.5,418.0,418.9,192368.0,812.1
2010-11-05,422.0,424.95,419.0,419.0,419.95,19360.0,81.6
2010-11-08,412.1,425.0,412.1,422.5,421.5,97501.0,410.5
2010-11-09,422.0,434.4,416.5,419.0,419.85,138441.0,590.81
2010-11-10,420.0,426.4,414.0,417.0,417.7,93451.0,393.59
2010-11-11,420.0,424.3,410.0,410.0,410.95,37854.0,158.02
2010-11-12,412.9,418.0,396.8,401.0,400.3,67116.0,274.18
2010-11-15,409.9,409.9,394.05,395.0,395.25,65042.0,259.73
2010-11-16,399.0,399.0,381.1,388.0,385.15,36942.0,143.97
2010-11-18,386.5,403.75,367.05,401.0,399.45,80728.0,317.32
2010-11-19,398.9,399.15,385.0,387.75,386.5,48007.0,186.82
2010-11-22,389.9,408.9,389.9,402.0,401.55,83897.0,337.36
2010-11-23,401.0,402.95,391.0,399.0,395.5,24283.0,96.0
2010-11-24,399.9,402.5,392.0,395.1,398.4,33101.0,132.23
2010-11-25,400.0,400.0,381.15,384.5,384.1,18261.0,70.83
2010-11-26,382.0,392.95,353.1,388.55,382.55,76937.0,288.85
2010-11-29,384.1,390.0,373.0,374.0,377.45,47553.0,180.54
2010-11-30,374.0,391.95,372.1,387.0,387.1,82730.0,318.5
2010-12-01,388.1,399.4,385.0,386.5,389.45,53651.0,210.75
2010-12-02,393.8,400.0,392.95,394.25,395.15,26953.0,106.65
2010-12-03,399.0,399.6,389.0,393.5,393.2,31328.0,123.51
2010-12-06,390.0,395.0,385.0,385.1,385.95,17201.0,67.63
2010-12-07,382.2,386.65,376.9,379.9,379.3,5681.0,21.72
2010-12-08,378.0,388.8,365.05,370.0,369.0,29945.0,110.91
2010-12-09,367.0,374.95,363.2,369.0,368.85,26937.0,99.13
2010-12-10,362.25,378.0,355.0,372.1,372.85,17224.0,63.81
