Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-02-26,56.0,60.9,45.55,45.8,47.45,5419044.0,2790.04
2007-02-27,46.5,48.85,43.6,44.7,44.9,2237004.0,1045.36
2007-02-28,41.6,42.0,37.6,37.75,38.85,410031.0,166.86
2007-03-01,38.5,46.65,38.5,46.65,46.6,768420.0,336.95
2007-03-02,47.25,52.75,45.1,46.65,47.1,1635425.0,814.11
2007-03-05,45.0,45.8,38.25,39.6,39.55,315943.0,131.5
2007-03-06,41.3,44.0,39.15,40.45,40.35,264475.0,109.43
2007-03-07,42.0,42.0,33.5,35.4,35.5,147377.0,55.13
2007-03-08,36.0,37.35,34.1,35.5,35.7,85045.0,30.02
2007-03-09,37.0,38.0,35.25,35.5,35.55,65724.0,23.92
2007-03-12,36.4,36.9,34.55,35.2,35.1,30967.0,10.95
2007-03-13,35.5,37.5,35.45,36.9,36.7,66408.0,24.22
2007-03-14,34.1,35.0,34.1,34.6,34.7,40001.0,13.87
2007-03-15,35.1,38.35,35.1,35.3,35.75,82532.0,30.47
2007-03-16,36.15,36.45,34.0,34.0,34.35,28467.0,9.96
2007-03-19,34.9,34.9,33.7,34.4,34.25,13185.0,4.52
2007-03-20,34.6,35.0,33.5,33.6,33.8,12793.0,4.4
2007-03-21,33.85,34.0,33.0,33.1,33.3,22588.0,7.56
2007-03-22,33.3,40.0,33.05,40.0,40.0,140127.0,53.76
2007-03-23,42.5,45.0,40.75,42.6,43.45,366973.0,157.95
2007-03-26,43.5,43.5,38.3,39.0,39.0,93344.0,37.59
2007-03-28,37.0,38.4,35.6,36.25,36.5,35774.0,13.34
2007-03-29,37.5,38.0,36.05,37.05,37.25,23079.0,8.61
2007-03-30,37.5,39.0,37.0,37.0,37.1,18858.0,7.14
2007-04-02,36.05,37.4,34.7,35.0,35.15,27851.0,9.87
2007-04-03,35.5,36.8,35.25,35.3,35.75,9841.0,3.52
2007-04-04,37.25,37.25,35.5,36.0,35.8,5644.0,2.03
2007-04-05,35.35,40.0,34.55,36.8,37.2,65833.0,24.66
2007-04-09,37.8,39.0,37.2,38.8,38.4,22653.0,8.75
2007-04-10,37.9,38.5,36.7,36.7,37.15,11708.0,4.38
2007-04-11,36.35,38.45,36.35,37.25,37.15,18896.0,7.1
2007-04-12,37.3,37.3,36.0,36.2,36.1,8081.0,2.95
