Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-08,285.0,285.0,270.0,285.0,283.65,70.0,0.2
2010-01-11,299.0,299.0,285.0,295.0,294.95,264.0,0.77
2010-01-12,299.9,299.95,273.0,288.05,288.05,227.0,0.67
2010-01-13,312.0,312.0,287.85,288.25,288.3,82.0,0.25
2010-01-14,308.9,308.9,289.8,290.0,290.0,771.0,2.27
2010-01-15,270.3,294.5,270.3,285.0,285.0,318.0,0.92
2010-01-18,272.6,308.0,272.0,290.05,291.45,17563.0,52.14
2010-01-19,304.0,304.0,290.0,290.0,291.05,1509.0,4.47
2010-01-20,298.0,298.0,290.0,290.0,290.05,2086.0,6.11
2010-01-21,281.0,295.0,281.0,295.0,292.65,1785.0,5.19
2010-01-22,275.4,305.0,270.0,302.95,301.85,1232.0,3.6
2010-01-25,292.5,302.0,292.1,296.55,299.6,751.0,2.23
2010-01-27,325.0,325.0,290.0,295.0,294.55,10351.0,30.53
2010-01-28,295.0,304.0,286.5,291.95,289.35,1376.0,4.07
2010-01-29,280.0,295.95,280.0,290.0,289.95,5060.0,14.67
2010-02-01,305.0,305.0,288.0,300.0,299.95,62.0,0.19
2010-02-02,308.0,308.0,270.0,284.8,281.75,778.0,2.18
2010-02-03,295.0,295.0,280.0,280.0,280.0,313.0,0.88
2010-02-04,280.0,290.0,275.0,275.0,282.7,465.0,1.32
2010-02-05,284.95,285.0,275.0,285.0,280.05,2047.0,5.72
2010-02-06,285.0,285.0,272.15,272.15,272.15,1650.0,4.63
2010-02-08,273.0,289.9,272.0,272.5,272.5,355.0,0.98
2010-02-09,275.0,285.0,275.0,285.0,285.0,578.0,1.62
2010-02-10,285.0,285.0,280.0,280.0,280.0,3114.0,8.72
2010-02-11,275.1,280.1,275.1,275.1,275.1,544.0,1.51
2010-02-15,278.0,282.0,270.0,282.0,282.0,215.0,0.6
2010-02-16,280.0,280.0,280.0,280.0,280.0,234.0,0.66
2010-02-17,280.0,280.1,280.0,280.0,280.0,4050.0,11.34
2010-02-18,307.0,307.0,278.05,280.0,280.0,221.0,0.63
2010-02-19,288.45,288.45,280.0,280.0,280.0,116.0,0.32
2010-02-22,280.0,295.0,280.0,280.0,280.15,342.0,0.97
2010-02-23,280.0,280.0,280.0,280.0,280.0,85.0,0.24
2010-02-24,280.0,280.0,280.0,280.0,280.0,1.0,0.0
2010-02-25,281.1,281.1,278.0,280.0,280.0,701.0,1.96
2010-02-26,280.0,281.0,280.0,280.0,280.0,15.0,0.04
2010-03-02,281.0,281.0,280.0,280.0,280.0,250.0,0.7
2010-03-03,280.0,295.0,255.65,280.0,279.35,2304.0,6.53
2010-03-04,280.0,289.0,280.0,280.0,280.0,300.0,0.85
