Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,24.5,24.5,24.5,,,,
1998-03-24,26.75,26.95,26.75,26.95,26.95,4000.0,1.08
1998-03-25,29.0,29.25,27.6,28.05,28.55,11400.0,3.26
1998-03-26,31.45,31.45,25.75,27.95,27.9,6600.0,1.86
1998-03-27,27.0,30.0,26.5,30.0,28.95,25700.0,7.33
1998-03-30,30.6,30.9,28.9,29.75,29.4,12300.0,3.64
1998-03-31,30.0,30.85,26.55,26.55,26.95,13750.0,3.93
1998-04-01,28.75,28.75,27.1,28.0,28.0,3500.0,0.98
1998-04-02,28.5,28.5,25.3,25.3,25.3,1350.0,0.36
1998-04-03,25.6,27.4,25.05,26.0,26.0,5300.0,1.38
1998-04-06,26.25,27.25,26.2,26.2,26.2,2750.0,0.74
1998-04-07,27.0,28.0,26.0,26.0,26.0,2950.0,0.79
1998-04-09,27.5,27.5,27.0,27.0,27.0,300.0,0.08
1998-04-10,28.9,29.3,28.9,29.3,29.3,1600.0,0.46
1998-04-13,28.0,28.95,27.0,27.0,27.3,8500.0,2.36
1998-04-15,28.95,30.0,28.3,30.0,29.8,15200.0,4.42
1998-04-16,30.0,31.5,29.25,29.5,29.5,9700.0,2.93
1998-04-17,28.0,29.4,28.0,28.6,29.05,3750.0,1.08
1998-04-20,26.75,29.1,26.75,28.55,28.75,6150.0,1.77
1998-04-21,29.85,29.85,27.75,28.25,28.25,2200.0,0.63
1998-04-22,30.0,30.8,27.45,28.0,28.3,3950.0,1.14
1998-04-23,27.5,28.7,27.5,28.55,28.55,700.0,0.2
1998-04-24,28.5,28.5,27.5,27.5,27.5,2700.0,0.77
1998-04-27,27.5,27.5,26.5,26.5,26.5,500.0,0.13
1998-04-28,26.5,26.5,24.0,24.05,24.05,1200.0,0.29
1998-04-29,25.25,25.25,24.0,24.0,24.0,200.0,0.05
1998-04-30,24.5,24.5,24.5,24.5,24.5,100.0,0.02
1998-05-04,24.45,24.45,24.0,24.0,24.0,800.0,0.19
1998-05-05,24.95,24.95,23.5,23.5,23.5,2600.0,0.62
1998-05-06,24.0,25.0,23.95,24.3,24.3,2600.0,0.63
1998-05-08,24.5,24.85,24.5,24.85,24.85,300.0,0.07
1998-05-11,24.85,24.85,24.8,24.8,24.8,1050.0,0.26
1998-05-12,23.2,23.9,22.45,22.45,22.7,1550.0,0.35
1998-05-13,22.15,22.15,22.15,22.15,22.15,150.0,0.03
1998-05-14,24.0,24.0,24.0,24.0,24.0,50.0,0.01
1998-05-15,24.35,24.45,24.0,24.45,24.35,1600.0,0.39
1998-05-18,23.0,23.0,23.0,23.0,23.0,250.0,0.06
1998-05-19,22.95,23.45,22.95,23.45,23.45,600.0,0.14
1998-05-20,23.5,24.9,23.5,24.9,24.9,350.0,0.08
1998-05-21,22.55,23.05,22.55,23.0,23.0,2100.0,0.48
1998-05-22,23.0,23.85,23.0,23.75,23.75,1300.0,0.31
1998-05-25,25.0,25.0,23.0,23.0,23.0,150.0,0.04
1998-05-26,22.8,22.9,20.8,20.8,22.6,1550.0,0.35
1998-05-27,22.05,24.0,22.05,23.5,23.5,350.0,0.08
1998-05-29,21.5,21.5,21.5,21.5,21.5,500.0,0.11
1998-06-01,22.5,22.8,22.5,22.75,22.75,750.0,0.17
1998-06-02,24.9,25.0,20.9,20.9,20.9,750.0,0.17
1998-06-05,21.6,22.5,21.4,22.5,22.5,2100.0,0.45
1998-06-08,21.5,21.75,20.25,20.25,20.25,1050.0,0.22
1998-06-09,20.3,21.0,20.25,20.3,20.3,1350.0,0.28
1998-06-12,21.0,21.0,19.55,19.55,19.55,1150.0,0.23
1998-06-15,19.5,19.5,19.5,19.5,19.5,150.0,0.03
1998-06-16,18.15,18.15,18.0,18.0,18.1,650.0,0.12
1998-06-18,18.1,18.1,18.0,18.0,18.05,750.0,0.14
1998-06-19,16.0,18.4,16.0,18.4,18.4,550.0,0.1
1998-06-22,18.45,19.0,18.45,18.6,18.7,800.0,0.15
1998-06-23,19.0,19.0,18.75,18.75,18.95,1450.0,0.28
1998-06-24,19.0,19.0,19.0,19.0,19.0,100.0,0.02
1998-06-25,20.0,20.0,20.0,20.0,20.0,100.0,0.02
1998-06-26,21.45,21.45,21.45,21.45,21.45,100.0,0.02
1998-06-30,20.0,20.0,20.0,20.0,20.0,100.0,0.02
1998-07-01,18.3,18.3,18.3,18.3,18.3,100.0,0.02
1998-07-03,18.2,18.2,18.2,18.2,18.2,100.0,0.02
1998-07-07,20.0,20.0,20.0,20.0,20.0,100.0,0.02
1998-07-09,19.0,19.0,19.0,19.0,19.0,100.0,0.02
1998-07-10,18.4,18.4,18.0,18.0,18.0,900.0,0.16
1998-07-14,19.25,19.25,18.75,19.0,19.0,4500.0,0.86
1998-07-15,18.0,18.0,17.5,17.5,17.5,1200.0,0.22
1998-07-16,17.5,17.5,17.5,17.5,17.5,100.0,0.02
1998-07-17,19.0,19.0,17.0,17.0,17.0,300.0,0.06
1998-07-21,19.0,19.0,19.0,19.0,19.0,100.0,0.02
1998-07-22,19.0,19.0,19.0,19.0,19.0,200.0,0.04
1998-07-23,18.0,18.0,17.0,17.0,17.0,1000.0,0.18
1998-07-28,16.0,16.0,16.0,16.0,16.0,200.0,0.03
1998-07-29,16.75,16.75,16.75,16.75,16.75,100.0,0.02
1998-07-30,16.25,16.25,16.25,16.25,16.25,200.0,0.03
1998-07-31,16.5,16.5,16.5,16.5,16.5,800.0,0.13
1998-08-03,16.25,16.5,16.0,16.0,16.0,800.0,0.13
1998-08-04,16.05,16.05,16.05,16.05,16.05,200.0,0.03
1998-08-05,16.5,16.5,16.5,16.5,16.5,350.0,0.06
1998-08-07,16.5,16.5,16.5,16.5,16.5,250.0,0.04
1998-08-11,16.15,16.15,16.1,16.1,16.1,300.0,0.05
1998-08-12,15.75,15.75,15.75,15.75,15.75,250.0,0.04
1998-08-13,17.0,17.0,17.0,17.0,17.0,600.0,0.1
1998-08-25,17.0,17.0,17.0,17.0,17.0,150.0,0.03
1998-08-27,15.25,15.25,15.25,15.25,15.25,150.0,0.02
1998-08-28,15.25,16.0,15.25,15.5,15.5,550.0,0.09
1998-08-31,16.0,16.25,16.0,16.25,16.25,5250.0,0.84
1998-09-01,16.0,16.05,16.0,16.05,16.05,200.0,0.03
1998-09-03,16.25,16.25,16.0,16.25,16.25,1100.0,0.18
1998-09-08,18.95,19.0,18.95,19.0,18.95,200.0,0.04
1998-09-14,16.15,17.5,16.1,17.5,17.5,250.0,0.04
1998-09-15,17.5,17.5,17.25,17.25,17.25,750.0,0.13
1998-09-18,17.55,17.55,17.55,17.55,17.55,100.0,0.02
1998-09-22,18.05,18.05,18.0,18.0,18.0,600.0,0.11
1998-09-23,17.5,17.5,17.5,17.5,17.5,500.0,0.09
1998-09-28,19.7,20.5,19.7,20.5,20.5,500.0,0.1
1998-09-29,21.0,22.0,20.8,20.8,20.8,1100.0,0.23
1998-09-30,19.5,19.5,19.2,19.2,19.2,400.0,0.08
1998-10-05,19.0,19.0,19.0,19.0,19.0,50.0,0.01
1998-10-07,17.15,18.7,17.0,18.7,17.1,1350.0,0.23
1998-10-08,16.5,16.5,16.5,16.5,16.5,900.0,0.15
1998-10-09,17.5,17.5,17.5,17.5,17.5,200.0,0.04
1998-10-12,20.2,20.2,18.0,18.0,18.0,650.0,0.12
1998-10-13,18.0,18.0,16.5,16.5,17.65,2300.0,0.41
1998-10-14,17.5,18.0,17.5,18.0,18.0,800.0,0.14
1998-10-15,17.5,17.5,17.5,17.5,17.5,50.0,0.01
1998-10-16,17.5,17.5,17.5,17.5,17.5,1000.0,0.18
1998-10-26,17.0,18.45,17.0,18.45,17.9,4350.0,0.77
1998-10-27,17.65,17.65,17.6,17.6,17.6,100.0,0.02
1998-10-28,18.0,18.0,18.0,18.0,18.0,100.0,0.02
1998-11-03,17.5,17.5,17.5,17.5,17.5,100.0,0.02
1998-11-19,17.0,17.1,17.0,17.1,17.1,200.0,0.03
1998-11-20,17.25,17.25,17.25,17.25,17.25,150.0,0.03
1998-11-28,16.55,16.55,16.5,16.5,16.5,200.0,0.03
1998-11-30,16.5,16.5,16.5,16.5,16.5,1200.0,0.2
1998-12-01,17.0,17.0,17.0,17.0,17.0,100.0,0.02
1998-12-03,17.0,17.0,17.0,17.0,17.0,100.0,0.02
1998-12-08,16.5,16.5,16.5,16.5,16.5,200.0,0.03
1998-12-09,16.55,16.55,16.5,16.55,16.55,400.0,0.07
1998-12-10,16.5,16.5,16.5,16.5,16.5,200.0,0.03
1998-12-15,16.6,16.6,16.6,16.6,16.6,850.0,0.14
1998-12-16,17.0,17.0,17.0,17.0,17.0,200.0,0.03
1998-12-21,17.0,17.0,17.0,17.0,17.0,100.0,0.02
1998-12-23,16.0,17.0,14.9,14.9,14.9,300.0,0.05
1998-12-24,15.5,15.5,15.1,15.1,15.1,300.0,0.05
1998-12-28,16.5,16.5,16.5,16.5,16.5,100.0,0.02
1999-01-01,16.95,16.95,16.95,16.95,16.95,100.0,0.02
1999-01-04,17.0,17.5,17.0,17.5,17.5,1200.0,0.21
1999-01-05,17.0,18.0,17.0,18.0,18.0,2250.0,0.39
1999-01-06,19.5,19.5,19.5,19.5,19.5,300.0,0.06
1999-01-07,19.15,20.5,19.15,20.5,20.5,650.0,0.13
1999-01-08,22.0,22.0,21.0,21.0,21.0,1300.0,0.28
1999-01-11,20.75,20.9,20.75,20.8,20.8,550.0,0.11
1999-01-14,21.0,21.0,21.0,21.0,21.0,100.0,0.02
1999-01-18,20.0,20.0,20.0,20.0,20.0,100.0,0.02
1999-01-19,20.0,20.15,18.5,18.9,18.9,1000.0,0.2
1999-01-21,19.1,19.5,19.0,19.5,19.5,2500.0,0.48
1999-01-22,20.0,20.0,19.5,19.5,19.5,150.0,0.03
1999-01-25,19.9,19.9,17.5,17.5,17.5,500.0,0.1
1999-01-27,18.35,21.9,18.35,20.8,20.8,3050.0,0.63
1999-01-28,21.8,22.5,20.0,20.0,20.0,2900.0,0.61
1999-01-29,20.0,20.0,18.8,19.5,19.5,3000.0,0.58
1999-02-02,18.05,19.85,17.95,18.35,18.35,900.0,0.16
1999-02-03,18.6,18.6,18.6,18.6,18.6,100.0,0.02
1999-02-05,17.5,17.5,16.6,16.6,16.6,350.0,0.06
1999-02-08,17.1,17.1,17.1,17.1,17.1,50.0,0.01
1999-02-09,19.0,19.0,18.0,18.5,18.5,800.0,0.15
1999-02-10,18.5,18.5,18.25,18.25,18.25,400.0,0.07
1999-02-11,18.0,18.0,18.0,18.0,18.0,100.0,0.02
1999-02-12,18.45,19.25,17.6,19.25,19.25,2650.0,0.49
1999-02-15,19.0,20.0,18.75,19.0,19.0,1750.0,0.34
1999-02-16,20.0,22.4,20.0,22.0,22.0,8700.0,1.83
1999-02-17,23.0,23.8,23.0,23.6,23.6,18300.0,4.35
1999-02-18,25.0,25.5,24.6,24.75,24.75,22550.0,5.71
1999-02-19,26.75,26.75,23.2,23.85,23.85,6850.0,1.67
1999-02-22,22.8,22.9,22.0,22.0,22.0,5000.0,1.11
1999-02-23,22.0,22.0,20.25,20.25,20.25,5050.0,1.02
1999-02-24,20.35,20.35,19.0,19.0,19.0,350.0,0.07
1999-02-25,19.0,19.0,19.0,19.0,19.0,600.0,0.11
1999-02-26,19.5,19.5,19.0,19.0,19.0,600.0,0.12
1999-02-27,19.0,19.0,19.0,19.0,19.0,200.0,0.04
1999-03-01,18.2,19.05,18.15,19.0,19.0,1200.0,0.23
1999-03-03,18.5,22.95,18.5,21.0,21.0,1300.0,0.27
1999-03-04,19.8,19.8,19.5,19.65,19.65,2000.0,0.39
1999-03-05,19.7,19.8,19.0,19.0,19.0,500.0,0.1
1999-03-08,18.0,20.0,18.0,18.0,18.0,1900.0,0.35
1999-03-09,18.3,18.95,17.6,17.6,17.6,1100.0,0.2
1999-03-10,19.0,19.0,18.5,18.5,18.5,700.0,0.13
1999-03-11,18.5,19.0,17.0,17.0,17.0,850.0,0.15
1999-03-15,17.1,17.1,17.1,17.1,17.1,100.0,0.02
1999-03-16,17.5,18.2,17.0,18.2,18.2,2850.0,0.49
1999-03-17,19.95,20.5,17.65,17.65,17.65,3300.0,0.63
1999-03-18,18.5,21.5,18.5,20.0,20.0,3350.0,0.68
1999-03-19,20.5,20.5,19.0,20.0,20.0,2250.0,0.44
1999-03-20,19.9,19.95,19.25,19.25,19.25,300.0,0.06
1999-03-22,17.55,23.9,17.5,22.5,22.5,6700.0,1.41
1999-03-23,23.0,24.25,22.5,24.25,24.25,15150.0,3.54
1999-03-24,25.5,25.6,23.5,24.05,24.05,22500.0,5.52
1999-03-25,24.0,24.0,22.85,23.0,23.0,3150.0,0.73
1999-03-26,22.5,22.7,21.5,21.5,21.5,1500.0,0.33
1999-03-30,21.1,21.5,20.25,20.25,20.25,2750.0,0.58
