Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-04-29,9.65,9.85,9.65,9.8,9.75,18229.0,1.78
2013-04-30,9.95,9.95,9.65,9.8,9.7,15732.0,1.53
2013-05-02,9.3,9.8,9.25,9.55,9.6,40610.0,3.89
2013-05-03,9.85,9.85,9.55,9.75,9.7,14295.0,1.39
2013-05-06,9.8,11.0,9.7,10.5,10.45,100608.0,10.3
2013-05-07,10.75,10.9,9.9,10.0,9.95,66282.0,6.77
2013-05-08,10.0,10.2,9.75,9.85,9.9,60632.0,6.05
2013-05-09,10.05,10.8,9.9,10.15,10.1,61048.0,6.29
2013-05-10,10.2,10.5,10.0,10.0,10.05,56667.0,5.8
2013-05-11,10.05,10.1,9.9,10.0,9.95,5908.0,0.59
2013-05-13,10.0,10.3,9.75,9.9,9.9,191862.0,19.4
2013-05-14,10.05,10.05,9.7,9.95,9.85,48212.0,4.75
2013-05-15,9.8,10.1,9.8,10.0,9.9,31482.0,3.14
2013-05-16,10.15,10.15,9.75,9.9,9.9,64247.0,6.38
2013-05-17,10.1,10.1,9.8,9.95,9.95,33039.0,3.3
2013-05-20,9.85,10.1,9.8,9.95,9.9,68040.0,6.79
2013-05-21,10.0,10.1,9.8,9.9,9.85,206826.0,20.6
2013-05-22,9.95,9.95,9.75,9.8,9.75,41742.0,4.09
2013-05-23,9.95,9.95,9.55,9.85,9.8,60454.0,5.85
2013-05-24,10.05,10.05,9.6,9.85,9.8,26080.0,2.55
2013-05-27,10.25,10.25,9.75,9.8,9.8,30653.0,3.06
2013-05-28,9.95,9.95,9.5,9.5,9.55,24201.0,2.33
2013-05-29,9.5,9.8,9.5,9.6,9.6,27519.0,2.64
2013-05-30,9.4,10.5,9.4,9.8,9.75,37608.0,3.68
2013-05-31,9.85,10.1,9.35,9.55,9.55,77311.0,7.43
2013-06-03,9.85,9.85,9.1,9.2,9.25,33214.0,3.08
2013-06-04,9.1,9.5,9.1,9.15,9.15,57856.0,5.38
2013-06-05,9.35,9.45,9.1,9.15,9.1,49132.0,4.51
2013-06-06,9.35,9.35,9.05,9.15,9.1,9163.0,0.83
2013-06-07,9.25,9.25,8.75,8.9,8.85,21220.0,1.92
2013-06-10,9.05,9.05,8.75,9.05,9.0,44644.0,3.98
2013-06-11,9.15,9.2,8.6,8.9,8.85,47849.0,4.26
2013-06-12,9.1,9.1,8.75,8.8,8.75,15157.0,1.33
2013-06-13,9.0,9.0,8.15,8.3,8.2,78562.0,6.59
2013-06-14,8.45,8.45,7.95,8.15,8.05,47802.0,3.87
2013-06-17,8.05,8.45,7.25,7.9,7.75,131966.0,10.13
2013-06-18,7.6,8.1,7.55,8.1,8.05,12463.0,0.99
2013-06-19,8.0,8.2,7.7,7.75,7.8,31294.0,2.46
2013-06-20,7.95,7.95,7.7,7.95,7.85,28719.0,2.24
2013-06-21,8.0,9.4,7.7,9.25,9.2,216026.0,17.79
2013-06-24,9.75,9.75,8.45,8.6,8.7,18868.0,1.65
2013-06-25,9.2,9.2,8.25,8.9,8.65,17291.0,1.48
2013-06-26,9.0,9.0,8.35,8.35,8.4,14012.0,1.21
2013-06-27,8.85,8.85,8.3,8.3,8.35,14855.0,1.25
2013-06-28,8.6,8.6,7.9,8.05,8.0,59078.0,4.78
2013-07-01,8.3,8.3,8.0,8.25,8.15,15461.0,1.26
2013-07-02,8.3,8.35,7.8,8.0,7.9,64383.0,5.14
2013-07-03,8.1,8.1,7.45,7.5,7.55,30503.0,2.33
2013-07-04,7.55,7.75,7.45,7.45,7.5,77334.0,5.85
2013-07-05,7.75,7.75,7.45,7.7,7.45,28303.0,2.13
2013-07-08,7.5,7.55,7.45,7.5,7.45,20315.0,1.52
2013-07-09,7.9,7.9,7.4,7.45,7.45,31559.0,2.37
2013-07-10,7.85,7.85,7.25,7.25,7.25,64151.0,4.69
2013-07-11,7.65,7.85,7.3,7.55,7.5,42654.0,3.21
2013-07-12,8.35,8.35,7.05,7.25,7.35,51155.0,3.8
2013-07-15,7.9,7.9,7.3,7.45,7.4,30349.0,2.26
2013-07-16,7.55,7.55,7.25,7.4,7.3,12332.0,0.91
2013-07-17,7.6,7.6,7.2,7.2,7.2,22331.0,1.63
2013-07-18,7.6,7.6,7.15,7.25,7.25,39384.0,2.84
2013-07-19,7.5,7.5,6.95,6.95,6.95,60863.0,4.29
2013-07-22,6.6,7.1,6.6,6.75,6.75,42620.0,2.9
2013-07-23,7.1,7.1,6.5,7.0,6.75,67865.0,4.54
2013-07-24,6.85,7.15,6.65,7.1,7.0,67015.0,4.68
2013-07-25,6.6,7.15,6.6,7.1,7.0,8536.0,0.6
2013-07-26,6.9,7.15,6.9,7.05,7.0,37786.0,2.65
2013-07-29,6.8,7.25,6.8,6.9,7.0,27790.0,1.94
2013-07-30,7.0,7.05,6.9,7.05,7.0,53490.0,3.73
2013-07-31,6.95,7.1,6.9,6.9,6.95,26747.0,1.87
2013-08-01,7.1,7.1,6.6,6.8,6.7,15284.0,1.04
2013-08-02,7.1,7.1,5.8,6.05,5.95,140049.0,8.58
2013-08-05,5.95,6.35,5.55,5.8,5.65,91502.0,5.24
2013-08-06,5.8,5.8,5.1,5.55,5.5,38086.0,2.08
2013-08-07,6.4,6.4,5.25,6.35,6.1,49186.0,2.86
2013-08-08,6.1,6.3,5.95,6.0,6.05,104539.0,6.31
2013-08-12,6.45,6.45,5.95,6.0,6.0,170453.0,10.23
2013-08-13,6.45,6.45,5.95,6.1,6.1,32129.0,1.94
2013-08-14,6.45,6.45,6.1,6.25,6.2,29161.0,1.82
2013-08-16,6.5,6.5,6.15,6.45,6.2,29616.0,1.85
2013-08-19,6.35,6.35,5.95,6.1,6.1,38318.0,2.31
2013-08-20,6.1,6.25,5.95,6.15,6.15,12044.0,0.73
2013-08-21,6.3,6.35,6.05,6.15,6.05,22086.0,1.35
2013-08-22,6.45,6.45,6.0,6.15,6.15,38360.0,2.34
2013-08-23,6.3,6.6,6.05,6.05,6.1,45893.0,2.84
2013-08-26,6.3,6.35,6.15,6.2,6.2,11950.0,0.75
2013-08-27,6.2,6.4,6.0,6.0,6.05,23766.0,1.45
2013-08-28,6.05,6.2,5.75,6.05,5.9,25457.0,1.51
2013-08-29,5.95,7.05,5.95,6.0,6.05,12461.0,0.78
2013-08-30,6.0,6.25,6.0,6.1,6.0,16281.0,0.99
2013-09-02,6.0,6.35,6.0,6.15,6.1,10956.0,0.67
2013-09-03,6.25,6.25,6.0,6.05,6.0,15648.0,0.95
2013-09-04,6.0,6.1,6.0,6.0,6.0,12596.0,0.76
2013-09-05,6.45,6.45,6.05,6.3,6.25,13984.0,0.87
2013-09-06,6.3,6.65,6.15,6.25,6.2,11901.0,0.74
2013-09-10,6.35,6.75,6.2,6.4,6.55,34972.0,2.25
2013-09-11,6.75,7.0,6.3,6.9,6.9,32324.0,2.2
2013-09-12,7.2,7.2,6.7,6.9,6.85,15050.0,1.04
2013-09-13,6.75,7.0,6.6,6.85,6.8,40423.0,2.73
2013-09-16,7.45,7.45,6.4,6.6,6.5,32988.0,2.2
2013-09-17,6.3,6.85,6.3,6.5,6.5,10117.0,0.65
2013-09-18,6.45,6.6,6.3,6.45,6.3,25040.0,1.6
2013-09-19,6.45,6.95,6.35,6.5,6.5,57425.0,3.81
2013-09-20,6.75,6.75,6.3,6.5,6.4,13903.0,0.88
2013-09-23,6.65,6.65,6.3,6.45,6.45,3502.0,0.22
2013-09-24,6.8,6.8,6.2,6.25,6.25,13295.0,0.84
2013-09-25,6.4,6.55,6.25,6.35,6.35,23496.0,1.49
2013-09-26,6.4,6.4,6.25,6.25,6.25,3692.0,0.23
2013-09-27,6.4,6.4,6.15,6.2,6.2,15769.0,0.98
2013-09-30,6.45,6.45,6.1,6.25,6.15,10347.0,0.65
2013-10-01,6.1,6.2,5.95,6.2,6.1,40111.0,2.43
2013-10-03,6.2,6.35,6.05,6.3,6.15,20106.0,1.24
2013-10-04,6.2,6.35,6.1,6.1,6.15,20556.0,1.27
2013-10-07,6.1,6.3,6.1,6.25,6.25,12113.0,0.75
2013-10-08,6.15,6.4,6.15,6.4,6.35,6824.0,0.43
