Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-04-03,118.25,118.25,118.25,118.25,118.25,29831.0,35.28
2006-04-04,130.1,130.1,130.1,130.1,130.1,30000.0,39.03
2006-04-05,136.65,136.65,136.65,136.65,136.65,7414.0,10.13
2006-04-07,143.5,143.5,136.65,139.9,138.65,317356.0,452.69
2006-04-10,140.0,143.0,131.75,143.0,141.2,109512.0,151.0
2006-04-12,143.9,148.3,142.1,148.3,148.3,58433.0,86.23
2006-04-13,154.5,155.4,140.9,142.25,143.15,92192.0,136.54
2006-04-17,147.8,148.8,145.3,148.0,147.3,38232.0,56.35
2006-04-18,151.95,154.7,150.05,154.7,154.7,39245.0,60.16
2006-04-19,162.4,162.45,158.0,162.45,162.45,64930.0,105.03
2006-04-20,170.6,170.6,170.6,170.6,170.6,1740.0,2.97
2006-04-21,179.15,179.15,179.15,179.15,179.15,13186.0,23.62
2006-04-24,183.1,188.15,180.0,188.15,188.15,64633.0,120.26
2006-04-25,197.6,197.6,182.25,186.3,185.6,237497.0,460.7
2006-04-26,189.8,194.9,188.5,194.9,194.9,50590.0,97.95
2006-04-27,202.0,204.65,200.0,204.65,204.65,75300.0,153.89
2006-04-28,210.4,214.9,194.75,214.9,214.9,78972.0,163.94
2006-04-29,225.6,225.65,220.0,225.65,225.65,21851.0,49.29
2006-05-02,236.95,236.95,236.9,236.95,236.95,37171.0,88.08
2006-05-03,248.8,248.8,228.0,248.8,248.8,124283.0,306.6
2006-05-04,261.25,261.25,261.25,261.25,261.25,18442.0,48.18
2006-05-05,274.25,274.35,249.1,260.0,256.55,191445.0,513.51
2006-05-08,264.9,269.4,250.65,269.4,269.4,135490.0,364.51
2006-05-09,282.4,282.9,262.25,282.9,282.9,201725.0,561.48
2006-05-10,297.05,297.05,268.75,268.75,269.1,258954.0,724.61
2006-05-11,281.5,282.6,256.65,269.0,272.3,211089.0,578.58
2006-05-12,270.0,278.1,263.0,273.0,269.95,89152.0,241.48
2006-05-15,275.0,276.05,256.45,256.45,256.45,78375.0,210.92
2006-05-16,245.0,257.0,243.65,243.65,243.75,61082.0,149.2
2006-05-17,248.0,255.95,248.0,255.95,255.95,163408.0,415.26
2006-05-18,252.0,252.0,243.15,243.15,243.15,41693.0,101.54
2006-05-19,241.0,248.0,231.0,231.0,231.0,12228.0,28.33
2006-05-22,230.65,233.0,219.45,219.45,219.45,2234.0,5.04
2006-05-23,208.5,208.5,208.5,208.5,208.5,1622.0,3.38
2006-05-24,198.6,207.9,198.1,198.1,198.1,43403.0,87.06
2006-05-25,188.2,206.0,188.2,200.0,202.05,94721.0,185.88
2006-05-26,204.0,212.15,204.0,212.15,212.15,103307.0,217.02
2006-05-29,215.0,220.0,206.55,211.0,210.7,42955.0,92.56
2006-05-30,218.0,220.0,207.0,207.05,208.65,52251.0,112.7
2006-05-31,199.0,201.0,198.25,198.9,198.5,34921.0,69.36
2006-06-01,203.0,203.0,187.45,187.45,187.45,13659.0,26.24
