Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-11-22,105.0,140.0,93.6,118.5,112.2,14164851.0,15397.36
2007-11-23,119.8,121.0,102.0,102.5,104.7,4347874.0,4654.78
2007-11-26,104.0,112.4,102.1,103.55,103.75,1807729.0,1920.8
2007-11-27,105.0,105.0,95.65,96.25,97.0,644902.0,642.33
2007-11-28,98.8,100.0,92.2,93.5,94.05,590707.0,569.33
2007-11-29,96.0,96.85,87.1,88.3,88.2,298234.0,273.8
2007-11-30,88.0,96.8,86.25,93.45,92.8,484107.0,452.25
2007-12-03,94.0,111.4,93.25,111.4,111.4,1438525.0,1532.86
2007-12-04,114.0,118.4,105.1,107.6,109.15,1209721.0,1331.78
2007-12-05,109.5,115.0,107.5,109.0,109.05,634184.0,703.91
2007-12-06,111.5,112.5,101.1,101.7,102.35,448114.0,483.77
2007-12-07,104.45,107.4,101.5,103.7,103.85,278847.0,291.64
2007-12-10,104.05,106.7,96.55,105.0,104.6,253905.0,263.11
2007-12-11,106.9,113.9,97.55,110.0,110.95,504707.0,549.23
2007-12-12,106.0,117.8,106.0,114.8,114.85,793377.0,912.94
2007-12-13,115.05,116.95,109.1,112.5,111.3,297544.0,337.21
2007-12-14,111.1,116.0,110.0,111.6,111.6,203224.0,229.95
2007-12-17,110.0,116.75,105.2,107.25,106.35,341159.0,386.01
2007-12-18,108.0,111.55,104.3,108.25,108.2,292977.0,316.54
2007-12-19,110.15,115.8,109.0,112.5,111.15,287481.0,323.09
2007-12-20,111.5,112.65,105.0,106.0,106.8,113595.0,123.59
2007-12-24,108.0,116.9,100.55,113.25,113.5,422293.0,482.39
2007-12-26,114.1,136.2,107.0,136.2,136.15,3570823.0,4709.94
2007-12-27,139.45,144.7,133.55,135.75,136.45,2331594.0,3249.85
2007-12-28,131.15,138.35,131.15,134.1,134.4,450665.0,609.29
2007-12-31,135.55,152.7,134.0,146.0,145.1,1104343.0,1610.62
2008-01-01,146.0,146.9,140.0,141.9,141.2,340526.0,488.39
2008-01-02,142.55,144.8,134.9,138.0,138.3,273212.0,379.3
2008-01-03,138.0,138.7,130.0,132.0,131.55,288060.0,387.8
2008-01-04,133.55,141.0,132.3,134.0,135.0,212474.0,289.1
2008-01-07,125.0,156.0,125.0,145.7,145.25,1081007.0,1599.78
