Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-24,33.7,33.7,14.0,18.4,17.8,35788647.0,7360.95
2011-10-25,18.0,18.7,14.25,14.25,14.55,7299971.0,1116.32
2011-10-26,12.15,15.5,11.65,15.0,14.7,1623300.0,234.97
2011-10-28,15.5,15.5,13.75,14.35,14.3,1567445.0,225.58
2011-10-31,14.5,14.85,13.45,14.0,13.85,1057521.0,150.56
2011-11-01,13.45,13.9,12.0,12.3,12.55,1234010.0,162.14
2011-11-02,12.0,12.2,11.3,11.3,11.3,571261.0,66.22
2011-11-03,11.75,12.3,11.5,12.2,12.1,719008.0,86.22
2011-11-04,12.1,13.0,11.75,12.65,12.6,1125153.0,140.48
2011-11-08,12.1,13.55,12.1,12.5,12.8,462839.0,60.61
2011-11-09,12.1,13.5,11.55,12.75,12.55,642741.0,83.23
2011-11-11,12.3,12.85,12.1,12.55,12.3,176165.0,22.01
2011-11-14,12.5,13.55,11.8,13.55,13.35,1250511.0,166.1
2011-11-15,13.95,14.7,12.85,13.5,13.45,843105.0,118.6
2011-11-16,13.15,13.65,12.75,13.1,12.9,119254.0,15.62
2011-11-17,12.8,13.2,12.6,12.85,12.75,69938.0,9.06
2011-11-18,12.05,12.7,11.75,12.0,12.0,140357.0,16.83
2011-11-21,12.0,12.0,10.9,10.9,11.0,245807.0,28.04
2011-11-22,11.5,11.5,10.55,10.7,10.75,150564.0,16.37
2011-11-23,11.0,11.85,10.65,11.5,11.35,133150.0,14.59
2011-11-24,11.1,11.65,10.7,10.95,10.9,216840.0,23.97
2011-11-25,11.0,11.2,10.5,10.9,10.95,300269.0,33.06
2011-11-28,10.55,11.2,10.55,11.05,11.05,167634.0,18.48
2011-11-29,11.05,11.2,10.6,10.65,10.65,37406.0,4.04
2011-11-30,10.4,10.95,10.4,10.7,10.75,23912.0,2.57
2011-12-01,10.85,11.0,10.4,10.55,10.6,133128.0,14.31
2011-12-02,10.85,10.85,10.5,10.75,10.6,45728.0,4.85
2011-12-05,10.5,11.5,10.05,10.85,10.75,102438.0,11.11
2011-12-07,10.5,10.8,10.35,10.5,10.45,14867.0,1.57
2011-12-08,10.35,10.6,10.05,10.15,10.2,34450.0,3.53
2011-12-09,10.0,10.05,9.65,9.8,9.9,31815.0,3.13
2011-12-12,9.9,10.4,9.4,9.9,9.75,105761.0,10.2
2011-12-13,9.6,9.9,9.4,9.6,9.65,19932.0,1.91
2011-12-14,9.45,9.85,9.45,9.7,9.6,15687.0,1.51
2011-12-15,9.45,9.6,9.0,9.15,9.05,30531.0,2.79
2011-12-16,9.0,9.35,8.75,8.9,8.85,13499.0,1.22
2011-12-19,9.0,9.0,8.0,8.5,8.5,68606.0,5.69
2011-12-20,7.7,8.7,7.7,8.35,8.2,52927.0,4.39
2011-12-21,8.0,8.3,7.85,8.05,8.1,41691.0,3.36
2011-12-22,7.4,8.5,7.4,8.1,8.1,10529.0,0.85
2011-12-23,7.8,8.6,7.8,8.5,8.4,36783.0,3.08
2011-12-26,8.5,9.2,8.05,9.2,9.2,77322.0,6.79
2011-12-27,9.5,10.1,9.35,10.1,10.05,229745.0,22.69
2011-12-28,10.2,10.75,9.95,10.05,10.2,345306.0,35.4
2011-12-29,10.0,10.4,9.7,10.0,10.15,199152.0,19.79
2011-12-30,10.25,10.3,9.75,10.05,10.05,63074.0,6.36
2012-01-02,10.35,10.55,9.9,10.55,10.55,104927.0,10.92
2012-01-03,10.55,11.0,10.55,11.0,10.85,53435.0,5.77
2012-01-04,11.25,11.35,10.5,11.35,11.35,80559.0,9.0
2012-01-05,11.7,11.8,11.2,11.8,11.75,108452.0,12.49
2012-01-06,12.05,12.2,11.25,12.05,12.0,60775.0,7.25
2012-01-07,12.1,12.1,11.95,11.95,12.0,3820.0,0.46
2012-01-09,12.1,12.1,11.8,12.1,12.0,28490.0,3.42
2012-01-10,12.15,12.6,12.0,12.6,12.55,137435.0,17.25
2012-01-11,12.6,13.1,12.5,12.5,12.5,91987.0,11.63
2012-01-12,12.95,12.95,11.9,11.9,11.9,19816.0,2.4
2012-01-13,12.1,12.1,11.45,11.8,11.6,34217.0,3.99
2012-01-16,11.95,11.95,11.15,11.95,11.5,52028.0,5.97
2012-01-17,11.9,12.05,11.4,12.05,12.05,85651.0,10.13
2012-01-18,12.6,12.65,11.95,12.05,12.05,252426.0,31.18
2012-01-19,12.0,12.4,11.6,11.8,11.85,7914.0,0.94
2012-01-20,11.65,12.0,11.65,11.7,11.7,5644.0,0.66
2012-01-23,11.5,11.75,11.3,11.35,11.35,13771.0,1.57
2012-01-24,11.15,11.7,11.1,11.5,11.5,17284.0,2.0
2012-01-25,11.25,11.75,11.25,11.45,11.45,6451.0,0.74
2012-01-27,11.3,11.6,11.0,11.15,11.15,37324.0,4.2
2012-01-30,10.9,11.1,10.8,11.0,10.95,12599.0,1.39
2012-01-31,10.85,11.2,10.8,11.2,11.15,13253.0,1.45
2012-02-01,11.15,11.25,11.0,11.0,11.0,5202.0,0.58
2012-02-02,11.4,11.55,11.0,11.5,11.5,75932.0,8.73
2012-02-03,11.9,11.9,11.5,11.55,11.55,72009.0,8.4
2012-02-06,11.75,11.75,11.1,11.5,11.6,59965.0,6.99
2012-02-07,11.85,11.85,11.05,11.05,11.05,40374.0,4.64
2012-02-08,11.0,11.05,10.5,10.55,10.55,62793.0,6.63
2012-02-09,10.9,10.9,10.45,10.5,10.5,6643.0,0.7
2012-02-10,10.75,10.85,10.25,10.8,10.8,26550.0,2.84
2012-02-13,10.85,11.0,10.5,10.75,10.7,52942.0,5.7
2012-02-14,10.95,10.95,10.25,10.3,10.45,21125.0,2.22
2012-02-15,10.2,10.85,10.0,10.55,10.45,25423.0,2.66
2012-02-16,10.15,10.8,10.1,10.4,10.4,18364.0,1.9
2012-02-17,10.75,10.75,10.2,10.5,10.45,16065.0,1.69
2012-02-21,10.65,10.85,10.5,10.7,10.65,24614.0,2.62
2012-02-22,10.5,10.7,10.2,10.2,10.35,10262.0,1.07
2012-02-23,10.1,10.85,10.0,10.85,10.85,244520.0,26.4
2012-02-24,11.2,11.3,10.75,11.0,11.0,41292.0,4.54
2012-02-27,10.5,10.85,10.45,10.55,10.45,18129.0,1.9
2012-02-28,10.45,10.6,10.0,10.2,10.15,24028.0,2.46
2012-02-29,10.3,10.5,9.65,10.2,10.15,10239.0,1.03
2012-03-01,10.0,10.35,9.65,9.95,10.0,40357.0,3.97
2012-03-02,10.0,10.3,9.9,9.9,9.95,10039.0,1.02
2012-03-03,10.05,10.2,10.05,10.1,10.1,1923.0,0.19
2012-03-05,10.0,10.0,9.9,9.9,9.9,2436.0,0.24
2012-03-06,9.6,10.0,9.05,9.9,9.8,9232.0,0.9
2012-03-07,9.3,10.0,9.3,9.9,9.85,3503.0,0.34
2012-03-09,9.95,10.3,9.95,10.0,10.0,68471.0,6.87
2012-03-12,10.35,10.9,9.9,10.25,10.3,182071.0,18.87
2012-03-13,10.05,10.5,9.9,10.05,9.95,79587.0,8.0
2012-03-14,9.95,10.1,9.75,10.0,9.95,127473.0,12.69
2012-03-15,10.45,10.45,9.65,9.8,9.8,84403.0,8.39
2012-03-16,10.75,10.75,9.35,9.5,9.7,135535.0,13.24
2012-03-19,9.8,9.8,9.4,9.4,9.45,70076.0,6.75
2012-03-20,9.9,9.9,8.55,8.7,8.8,140308.0,12.82
2012-03-21,9.0,9.3,8.6,8.9,8.85,427378.0,37.84
2012-03-22,9.0,9.2,8.6,8.8,8.85,390639.0,34.7
2012-03-23,9.25,9.25,8.7,9.1,9.0,157580.0,14.08
2012-03-26,9.8,9.8,8.5,8.5,8.75,117843.0,10.3
2012-03-27,8.9,9.0,8.4,8.4,8.6,111315.0,9.69
2012-03-28,8.85,9.0,8.1,8.4,8.3,740297.0,62.73
2012-03-29,8.45,8.45,8.15,8.4,8.3,148033.0,12.29
2012-03-30,8.45,8.45,7.75,8.0,8.0,177566.0,14.4
2012-04-02,8.2,8.2,7.85,8.0,8.0,103678.0,8.32
