Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-08,65.25,70.4,65.25,70.4,70.4,119613.0,83.77
2010-01-11,74.4,76.0,68.25,68.5,70.0,30482.0,22.09
2010-01-12,69.75,71.9,66.5,67.15,67.35,4871.0,3.34
2010-01-13,66.5,71.0,66.0,69.2,69.4,5956.0,4.11
2010-01-14,67.1,74.0,67.1,70.05,70.85,39681.0,28.61
2010-01-15,71.9,71.9,69.0,69.3,69.6,4676.0,3.26
2010-01-18,69.05,70.45,68.05,68.05,68.35,9836.0,6.8
2010-01-19,67.2,68.9,66.8,67.0,67.5,6042.0,4.11
2010-01-20,69.5,69.5,66.0,66.0,66.5,2083.0,1.4
2010-01-21,67.3,67.9,63.6,65.95,64.2,4651.0,3.03
2010-01-22,61.0,63.45,60.0,62.0,61.8,5269.0,3.26
2010-01-25,63.95,63.95,60.65,60.65,61.2,2698.0,1.66
2010-01-27,59.0,62.85,58.6,59.25,59.25,3500.0,2.16
2010-01-28,59.0,59.0,55.5,56.0,55.95,3527.0,2.02
2010-01-29,56.0,57.0,54.1,57.0,56.1,1696.0,0.94
2010-02-01,59.5,61.7,58.85,60.5,60.75,5435.0,3.27
2010-02-02,66.65,66.65,56.2,57.2,57.2,6034.0,3.6
2010-02-03,60.95,60.95,52.3,53.5,54.25,6997.0,3.83
2010-02-04,54.0,55.8,48.85,48.85,50.1,41738.0,21.75
2010-02-05,47.6,50.0,47.6,47.6,47.6,45076.0,21.46
2010-02-06,46.85,46.85,45.25,45.45,45.45,6395.0,2.93
2010-02-08,46.95,47.4,45.45,47.2,47.15,21632.0,10.12
2010-02-09,47.7,48.0,45.65,47.5,47.2,7531.0,3.53
2010-02-10,49.25,49.25,45.5,45.8,46.2,14110.0,6.71
2010-02-11,46.1,47.3,46.0,47.3,47.15,2715.0,1.27
2010-02-15,46.25,47.8,46.25,46.25,46.45,3741.0,1.75
2010-02-16,47.9,47.9,44.6,45.35,45.75,4491.0,2.07
2010-02-17,46.0,47.95,45.5,47.6,47.55,8550.0,3.98
2010-02-18,46.25,47.0,46.0,46.0,46.0,987.0,0.46
2010-02-19,46.0,46.55,43.7,43.7,43.8,14150.0,6.25
2010-02-22,44.5,45.85,44.5,44.55,44.65,9224.0,4.15
2010-02-23,44.0,45.25,42.45,42.45,42.5,21336.0,9.23
2010-02-24,43.55,43.55,41.0,41.0,42.1,11605.0,4.98
2010-02-25,41.05,44.2,41.05,42.6,42.6,6075.0,2.61
2010-02-26,44.15,44.7,43.0,44.4,44.15,7932.0,3.51
2010-03-02,45.9,45.9,43.5,44.75,44.05,4009.0,1.77
2010-03-03,43.25,46.25,43.25,46.25,46.25,10866.0,4.9
2010-03-04,48.45,48.45,46.3,48.2,48.0,18998.0,9.08
2010-03-05,49.95,49.95,48.15,48.25,48.3,10898.0,5.32
2010-03-08,47.55,49.0,44.6,47.0,47.0,13832.0,6.51
2010-03-09,46.95,47.1,45.0,45.1,45.2,9321.0,4.31
2010-03-10,45.3,46.8,44.5,45.15,44.85,11351.0,5.15
2010-03-11,47.75,47.75,44.45,45.95,45.15,1216.0,0.56
2010-03-12,44.55,46.4,41.5,43.15,43.25,9808.0,4.24
2010-03-15,43.25,44.15,42.5,43.6,43.6,15339.0,6.55
2010-03-16,43.5,44.35,42.9,44.35,43.7,2033.0,0.88
2010-03-17,43.5,46.3,43.25,44.6,44.65,24177.0,11.02
2010-03-18,43.8,45.45,43.8,45.0,44.3,1254.0,0.56
2010-03-19,44.7,44.7,43.6,43.6,44.05,6693.0,2.94
2010-03-22,43.8,44.65,42.1,44.0,43.4,5350.0,2.31
2010-03-23,44.7,44.8,42.3,42.55,42.5,12527.0,5.39
2010-03-25,42.75,44.5,42.65,43.25,42.9,4394.0,1.9
2010-03-26,42.55,43.5,41.5,43.5,42.6,13912.0,5.91
2010-03-29,43.8,43.8,40.55,42.2,41.5,7847.0,3.26
2010-03-30,42.5,42.5,41.15,41.5,41.5,2035.0,0.85
2010-03-31,43.0,43.05,41.0,41.0,41.45,8005.0,3.33
2010-04-01,42.6,43.5,42.0,42.65,42.9,5575.0,2.38
2010-04-05,43.0,45.2,43.0,44.7,44.9,5448.0,2.43
2010-04-06,44.1,46.9,44.1,44.7,44.75,8405.0,3.81
2010-04-07,45.0,45.8,43.0,44.5,44.2,8108.0,3.59
2010-04-08,45.3,46.0,44.15,44.65,44.65,4732.0,2.15
2010-04-09,45.5,47.9,45.5,47.0,47.0,9224.0,4.32
2010-04-12,46.9,48.9,46.9,46.9,47.15,10591.0,5.05
2010-04-13,47.55,47.7,46.15,47.45,47.15,10055.0,4.74
2010-04-15,50.0,50.0,45.0,45.15,46.75,13287.0,6.25
2010-04-16,43.25,46.9,43.25,45.45,45.0,5664.0,2.56
2010-04-19,44.1,46.4,44.1,44.95,44.95,3665.0,1.65
2010-04-20,44.6,46.05,44.6,45.9,45.9,4641.0,2.12
2010-04-21,45.5,47.8,45.5,46.0,45.7,8356.0,3.89
2010-04-22,44.35,46.45,44.35,45.55,45.55,2699.0,1.23
2010-04-23,46.0,46.7,45.4,46.5,46.35,7163.0,3.31
2010-04-26,49.5,51.0,47.5,51.0,51.0,46642.0,23.22
2010-04-27,53.8,55.25,52.0,52.7,52.85,119082.0,64.33
2010-04-28,52.85,52.85,48.55,49.05,49.35,23850.0,12.01
2010-04-29,53.4,53.4,49.55,50.0,49.75,15669.0,7.85
2010-04-30,50.05,52.9,48.1,49.0,49.25,23239.0,11.74
2010-05-03,50.75,50.8,48.75,49.0,49.15,17213.0,8.57
2010-05-04,25.45,26.85,25.0,25.4,25.3,134769.0,35.32
2010-05-05,25.0,27.5,24.05,25.9,25.75,50597.0,13.01
2010-05-06,25.15,25.8,24.0,25.3,25.1,22419.0,5.59
2010-05-07,23.1,25.2,23.0,23.0,23.15,23747.0,5.53
2010-05-10,25.2,25.3,22.0,23.0,22.5,31803.0,7.18
2010-05-11,23.0,23.2,22.25,22.8,22.55,15832.0,3.61
2010-05-12,22.25,23.0,22.15,22.3,22.35,5738.0,1.29
2010-05-13,22.05,23.45,22.05,22.8,22.75,15932.0,3.6
2010-05-14,22.2,22.9,22.2,22.55,22.5,6992.0,1.57
2010-05-17,22.3,22.3,20.5,21.75,21.65,21907.0,4.65
2010-05-18,21.0,22.25,21.0,22.0,22.0,27524.0,6.01
2010-05-19,21.3,21.65,20.7,21.2,21.0,6952.0,1.47
2010-05-20,21.5,21.5,20.2,20.2,20.4,9299.0,1.93
2010-05-21,17.05,23.95,17.05,22.85,22.9,50551.0,11.04
2010-05-24,23.25,25.0,21.15,21.85,22.2,20701.0,4.82
2010-05-25,21.5,21.9,20.8,21.2,21.2,10399.0,2.2
2010-05-26,21.4,21.4,20.65,20.95,20.9,6308.0,1.32
2010-05-27,22.8,23.6,20.35,20.55,20.8,6853.0,1.48
2010-05-28,21.2,22.25,21.15,21.35,21.3,4045.0,0.86
2010-05-31,21.3,21.75,20.0,21.1,21.6,4667.0,0.99
2010-06-01,21.0,21.5,20.6,20.8,20.85,3284.0,0.69
2010-06-02,21.5,21.85,20.3,20.7,20.75,1933.0,0.4
2010-06-03,21.95,21.95,20.0,20.2,20.3,40348.0,8.19
2010-06-04,20.6,20.75,19.8,19.9,19.85,72547.0,14.54
2010-06-07,20.0,20.4,19.0,19.95,19.95,4211.0,0.84
2010-06-08,19.6,22.25,19.6,21.05,20.85,65818.0,14.09
2010-06-09,20.9,20.95,20.05,20.5,20.4,8936.0,1.84
2010-06-10,20.5,20.75,20.5,20.55,20.55,659.0,0.14
2010-06-11,20.7,21.2,20.55,21.0,21.05,9052.0,1.89
2010-06-14,21.25,21.35,20.85,21.25,21.15,2742.0,0.58
2010-06-15,21.4,21.55,20.55,21.5,21.35,10823.0,2.29
2010-06-16,20.6,22.05,20.6,21.7,21.9,25277.0,5.5
2010-06-17,21.35,22.0,20.8,21.5,21.5,7881.0,1.69
2010-06-18,21.1,21.75,21.1,21.25,21.25,4569.0,0.98
2010-06-21,21.0,22.15,21.0,21.95,21.7,11901.0,2.56
2010-06-22,21.95,22.3,21.4,21.4,21.6,4736.0,1.04
2010-06-23,21.4,21.75,20.5,20.75,20.9,11771.0,2.47
2010-06-24,23.0,23.0,21.0,21.1,21.15,47598.0,10.45
2010-06-25,21.45,22.0,21.25,21.3,21.3,10649.0,2.31
2010-06-28,21.45,21.75,20.75,21.0,21.0,6289.0,1.33
2010-06-29,21.0,21.4,20.5,20.7,20.9,8380.0,1.75
2010-06-30,20.6,20.9,20.3,20.5,20.5,4062.0,0.83
