Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-04-04,18.85,18.85,16.0,18.2,18.1,10035.0,1.76
2011-04-05,17.7,18.6,17.7,18.6,18.6,3202.0,0.59
2011-04-06,18.6,19.85,18.6,19.1,19.1,15288.0,2.93
2011-04-07,19.55,19.85,18.75,19.5,19.6,8246.0,1.57
2011-04-08,19.2,20.25,19.2,19.35,19.35,504.0,0.1
2011-04-11,18.65,18.65,18.0,18.55,18.55,700.0,0.13
2011-04-13,19.1,19.1,19.1,19.1,19.1,450.0,0.09
2011-04-15,18.75,19.4,18.75,18.85,18.85,560.0,0.11
2011-04-18,18.95,18.95,18.65,18.65,18.65,1567.0,0.29
2011-04-19,18.55,18.55,18.55,18.55,18.55,20.0,0.0
2011-04-20,18.6,20.35,18.6,19.5,19.75,4059.0,0.8
2011-04-21,19.05,20.0,19.0,19.5,19.5,1315.0,0.25
2011-04-25,19.3,20.25,19.3,20.25,20.1,5900.0,1.19
2011-04-26,18.9,19.85,18.9,19.85,19.75,616.0,0.12
2011-04-28,19.95,23.5,19.95,21.0,21.25,12931.0,2.68
2011-04-29,21.0,21.0,19.5,19.5,19.5,1200.0,0.24
2011-05-02,19.1,20.0,19.0,19.5,19.4,2702.0,0.52
2011-05-03,23.15,23.15,18.5,18.5,18.95,2357.0,0.45
2011-05-04,18.0,19.25,16.7,17.0,17.35,25753.0,4.63
2011-05-05,17.0,18.25,17.0,18.05,18.0,5986.0,1.08
2011-05-06,19.9,19.9,17.6,18.7,18.55,163.0,0.03
2011-05-09,17.3,18.5,16.5,18.35,18.2,8480.0,1.52
2011-05-10,17.25,18.4,17.2,17.5,17.55,890.0,0.16
2011-05-11,19.45,19.45,16.35,17.5,17.5,1151.0,0.2
2011-05-12,18.0,18.0,17.25,17.25,17.3,701.0,0.12
2011-05-13,17.5,18.25,17.0,17.25,17.15,1626.0,0.27
2011-05-17,16.9,16.9,16.55,16.55,16.55,300.0,0.05
2011-05-18,17.0,17.0,16.35,16.35,16.35,650.0,0.11
2011-05-19,16.25,16.25,15.15,15.15,15.7,10800.0,1.7
2011-05-20,15.0,16.15,15.0,15.75,16.0,563.0,0.09
2011-05-23,16.0,16.35,16.0,16.0,16.05,600.0,0.1
2011-05-24,15.1,15.15,15.05,15.15,15.15,2281.0,0.34
2011-05-25,15.95,15.95,15.9,15.9,15.9,2.0,0.0
2011-05-26,16.0,16.0,16.0,16.0,16.0,50.0,0.01
