Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-08-14,120.0,129.65,117.35,129.45,128.15,115424.0,143.35
2015-08-17,132.0,134.55,121.95,131.25,132.65,48733.0,63.53
2015-08-18,130.0,139.25,129.9,139.25,138.9,105146.0,144.35
2015-08-19,141.0,145.8,136.0,145.8,145.8,116061.0,167.64
2015-08-20,149.4,152.0,139.0,141.5,140.95,135955.0,199.68
2015-08-21,139.0,140.0,134.5,137.3,136.85,37502.0,51.39
2015-08-24,130.1,130.1,130.05,130.05,130.05,4993.0,6.49
2015-08-25,123.55,123.55,123.55,123.55,123.55,2684.0,3.32
2015-08-26,117.4,117.4,117.4,117.4,117.4,12670.0,14.87
2015-08-27,111.55,119.3,111.55,116.0,116.15,192407.0,219.71
2015-08-28,120.9,120.95,110.35,110.35,110.35,50914.0,58.7
2015-08-31,104.85,110.0,104.85,106.5,107.5,39047.0,41.91
