Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-10,100.2,139.4,100.2,121.85,120.45,8740685.0,10954.99
2007-01-11,122.0,139.75,121.05,127.65,127.2,6078140.0,7951.32
2007-01-12,129.0,130.0,120.4,122.0,123.4,3983262.0,4922.18
2007-01-15,122.25,124.3,119.35,119.95,120.75,2427290.0,2952.1
2007-01-16,120.9,121.9,117.0,117.5,118.65,2496472.0,2995.3
2007-01-17,118.7,118.7,111.05,111.55,112.75,1331586.0,1526.12
2007-01-18,112.5,130.0,112.4,126.0,125.1,4661244.0,5697.24
2007-01-19,126.3,131.25,120.15,123.2,123.1,3900910.0,4924.47
2007-01-22,123.6,125.0,120.0,122.0,120.85,878776.0,1069.11
2007-01-23,120.5,128.8,120.5,125.2,125.05,1289726.0,1619.11
2007-01-24,126.25,126.75,120.65,122.65,121.9,602050.0,746.34
2007-01-25,122.2,124.9,115.0,116.8,117.45,1880598.0,2248.96
2007-01-29,119.7,121.25,116.7,117.25,117.35,827991.0,981.88
2007-01-31,117.8,126.45,114.0,122.4,123.05,2732569.0,3321.9
2007-02-01,123.35,127.4,118.3,119.0,119.5,1645436.0,2035.76
2007-02-02,120.4,121.2,115.1,115.75,115.8,1529863.0,1795.68
2007-02-05,116.4,119.35,114.0,114.1,114.25,848593.0,980.93
2007-02-06,114.7,117.65,114.5,117.5,115.55,877676.0,1013.9
2007-02-07,116.15,118.5,114.9,116.5,116.9,1770906.0,2060.57
2007-02-08,117.3,121.85,114.9,121.0,120.4,2454817.0,2904.33
2007-02-09,121.8,121.8,114.75,116.0,116.05,1399515.0,1635.7
2007-02-12,115.1,118.0,112.15,117.25,115.65,1725547.0,1974.49
2007-02-13,113.05,123.8,113.05,115.15,114.55,2975687.0,3560.79
2007-02-14,114.0,114.4,109.0,110.0,109.65,981480.0,1086.18
2007-02-15,111.5,113.9,111.0,113.25,113.0,422428.0,476.47
2007-02-19,113.55,117.8,113.0,115.4,115.35,722856.0,835.6
2007-02-20,116.7,117.8,110.0,111.5,110.55,784906.0,888.51
2007-02-21,110.5,112.65,110.0,112.0,111.45,929902.0,1036.61
2007-02-22,112.6,112.6,103.25,105.6,104.85,669860.0,723.21
2007-02-23,105.45,108.9,104.5,108.0,107.1,808122.0,863.61
2007-02-26,108.0,109.5,105.5,109.5,108.85,369356.0,396.83
2007-02-27,110.0,110.25,107.5,109.85,109.55,283985.0,308.97
2007-02-28,104.0,106.0,92.5,102.3,103.0,620981.0,638.48
2007-03-01,102.05,104.7,98.3,99.9,99.95,507316.0,508.89
2007-03-02,100.0,100.5,95.0,96.0,95.75,509101.0,496.71
2007-03-05,94.0,94.0,85.25,86.5,86.8,571373.0,498.01
2007-03-06,92.0,100.0,88.5,94.7,94.6,843335.0,779.49
2007-03-07,95.6,99.7,93.25,97.0,95.15,1170414.0,1137.43
2007-03-08,96.0,96.0,90.0,94.15,93.8,203685.0,190.38
2007-03-09,94.0,96.2,92.5,93.55,93.65,122950.0,115.9
2007-03-12,93.0,94.9,92.95,94.15,94.0,98481.0,92.19
2007-03-13,94.7,98.4,93.5,95.15,95.9,303685.0,292.53
2007-03-14,93.5,95.0,90.0,91.7,92.0,346884.0,320.08
2007-03-15,94.1,109.9,92.75,93.75,94.95,1476139.0,1481.62
2007-03-16,95.8,96.0,88.3,91.95,90.0,1638031.0,1501.71
2007-03-19,91.5,93.45,88.4,89.5,89.3,324615.0,291.04
2007-03-20,91.15,92.75,88.15,88.15,88.5,493431.0,444.88
2007-03-21,88.5,89.0,85.3,85.4,85.7,315721.0,273.63
2007-03-22,87.4,88.0,83.25,84.7,85.0,593358.0,505.59
2007-03-23,85.55,92.0,85.05,86.65,86.9,623321.0,554.81
2007-03-26,86.9,88.45,84.0,86.6,86.7,836724.0,725.27
2007-03-28,87.05,89.8,85.0,88.35,87.8,474487.0,416.08
2007-03-29,87.8,90.25,86.5,89.8,89.1,159480.0,141.33
2007-03-30,89.5,91.6,87.25,87.75,88.95,562473.0,503.97
2007-04-02,86.1,88.5,84.0,86.8,87.0,228757.0,198.88
2007-04-03,87.85,87.85,86.0,86.05,86.35,92745.0,80.59
2007-04-04,88.45,88.45,86.05,86.25,86.35,475034.0,411.67
2007-04-05,86.45,86.9,85.25,85.8,86.05,398592.0,345.01
2007-04-09,87.7,88.5,86.1,87.1,86.95,482147.0,420.2
2007-04-10,87.2,87.85,86.15,86.3,86.45,69560.0,60.47
2007-04-11,87.65,92.5,87.0,92.5,91.7,980524.0,894.87
2007-04-12,90.3,91.5,86.6,87.1,87.1,273179.0,240.79
2007-04-13,87.2,89.9,86.0,86.7,86.7,224740.0,197.38
2007-04-16,87.8,91.0,86.85,90.2,89.6,212069.0,188.16
2007-04-17,91.0,92.0,85.3,85.6,85.55,537138.0,470.78
2007-04-18,86.5,86.8,84.1,84.1,84.35,296710.0,252.34
2007-04-19,81.1,85.9,81.1,82.85,82.65,147782.0,123.5
2007-04-20,84.0,86.1,82.55,83.3,82.85,164790.0,138.73
2007-04-23,84.2,84.2,80.75,81.0,81.05,159068.0,130.54
2007-04-24,81.9,81.9,80.0,80.3,80.4,303717.0,244.84
2007-04-25,81.9,84.2,80.5,83.25,83.05,529755.0,438.29
2007-04-26,84.55,85.8,80.5,81.7,81.25,280537.0,232.69
2007-04-27,82.2,86.0,80.8,85.35,85.3,749647.0,631.46
2007-04-30,86.0,86.8,83.1,83.5,83.6,574220.0,488.14
2007-05-03,84.05,85.55,81.35,81.9,82.1,180120.0,148.95
2007-05-04,82.5,82.75,80.8,81.0,81.0,409892.0,334.05
2007-05-07,81.5,83.0,79.1,79.25,79.55,396033.0,318.83
2007-05-08,79.5,80.0,75.55,75.8,75.85,253408.0,197.01
2007-05-09,74.5,76.8,74.5,75.7,75.25,155571.0,117.37
2007-05-10,75.5,80.7,72.05,73.0,72.9,827360.0,635.71
2007-05-11,70.3,73.8,68.85,69.8,69.7,725617.0,510.36
2007-05-14,68.0,74.9,68.0,69.75,69.6,311487.0,218.43
2007-05-15,70.0,80.8,69.0,73.9,73.55,6746815.0,5148.81
2007-05-16,74.0,79.9,73.1,79.7,79.35,3877182.0,3011.47
2007-05-17,80.45,85.0,79.6,84.3,84.25,4118613.0,3428.49
2007-05-18,84.0,84.5,81.0,82.05,81.8,1060483.0,880.3
2007-05-21,82.7,84.8,82.0,84.15,83.65,866377.0,722.96
2007-05-22,84.45,84.8,80.1,80.95,81.25,537045.0,441.57
2007-05-23,81.9,81.9,77.2,78.0,77.75,425902.0,337.23
2007-05-24,77.9,81.9,76.05,77.8,78.7,1019522.0,809.27
2007-05-25,77.55,78.75,75.25,75.9,75.85,634329.0,486.32
2007-05-28,76.9,77.95,72.5,74.3,74.35,793939.0,597.76
2007-05-29,74.9,76.1,71.3,73.25,73.0,1994168.0,1461.22
2007-05-30,73.6,79.8,72.9,76.9,77.35,2756831.0,2149.05
2007-05-31,78.5,79.0,73.3,74.2,74.1,846115.0,637.44
2007-06-01,74.0,75.9,72.55,73.3,73.05,623397.0,458.56
2007-06-04,73.85,74.0,71.2,72.5,72.45,884634.0,640.99
2007-06-05,72.7,74.0,72.4,72.95,72.85,548971.0,400.79
2007-06-06,72.0,73.5,71.15,72.0,71.5,340134.0,244.91
2007-06-07,71.9,72.0,69.7,70.2,70.0,505169.0,357.21
2007-06-08,69.9,70.05,68.5,69.3,69.05,451255.0,313.56
2007-06-11,70.0,71.8,69.0,69.7,69.8,614373.0,429.98
2007-06-12,69.8,70.0,68.05,68.2,68.6,304402.0,209.84
2007-06-13,68.5,72.45,66.6,70.6,70.15,1182104.0,834.32
2007-06-14,70.1,73.5,70.1,73.45,73.05,1525633.0,1112.86
2007-06-15,73.5,73.9,70.5,72.05,71.9,903135.0,650.76
2007-06-18,71.9,76.0,68.8,69.5,69.2,895619.0,623.89
2007-06-19,69.9,71.3,68.0,69.9,69.15,922421.0,636.97
2007-06-20,70.0,70.0,68.2,68.4,68.4,306020.0,211.22
2007-06-21,68.5,69.45,66.5,67.25,67.0,622920.0,423.11
2007-06-22,67.5,68.5,66.5,66.8,66.95,374682.0,253.14
2007-06-25,67.1,68.0,67.1,67.1,67.35,171796.0,116.01
2007-06-26,67.6,68.0,66.7,66.75,66.9,414259.0,277.68
2007-06-27,67.0,68.8,65.9,66.05,66.1,432990.0,290.19
2007-06-28,66.9,66.9,64.1,65.05,65.15,834224.0,541.29
2007-06-29,65.5,65.6,63.1,63.45,63.5,360333.0,231.63
2007-07-02,63.9,64.0,61.65,63.3,62.8,445550.0,278.59
2007-07-03,62.0,64.8,62.0,63.45,63.25,204675.0,130.24
2007-07-04,63.7,63.7,61.9,62.0,62.15,266737.0,165.94
2007-07-05,62.5,62.5,61.5,61.6,61.95,226587.0,140.38
2007-07-06,61.0,62.3,60.4,60.4,60.95,288310.0,176.84
2007-07-09,60.25,61.0,58.5,59.05,58.9,388146.0,229.89
2007-07-10,59.1,61.9,58.8,59.4,59.4,1005423.0,604.45
2007-07-11,59.1,59.4,56.8,57.15,57.2,705786.0,412.74
2007-07-12,61.8,62.0,56.2,58.25,58.25,267589.0,155.68
2007-07-13,58.9,64.2,57.8,64.0,63.55,1105278.0,684.38
2007-07-16,63.5,76.3,63.5,76.3,76.3,3911944.0,2813.19
2007-07-17,77.7,78.4,67.1,67.4,67.65,2869570.0,2059.25
2007-07-18,67.9,71.8,66.3,68.3,68.15,3886558.0,2697.67
2007-07-19,69.0,71.4,66.1,67.0,66.9,7335118.0,4984.51
2007-07-20,67.85,69.75,66.8,67.25,67.3,700328.0,477.44
2007-07-23,67.7,67.9,63.25,64.05,64.8,1391032.0,909.01
2007-07-24,64.9,65.4,61.5,62.25,62.2,427685.0,268.57
2007-07-25,61.0,64.9,60.15,62.45,62.45,599310.0,376.88
2007-07-26,63.0,64.45,62.1,62.95,62.7,249916.0,157.92
2007-07-27,60.6,61.9,56.35,57.6,57.45,1214254.0,704.18
2007-07-30,57.4,58.9,54.5,55.4,55.1,1379055.0,777.4
2007-07-31,56.2,57.4,54.85,57.05,56.95,1395087.0,779.38
2007-08-01,56.1,57.8,54.95,55.15,55.0,706421.0,394.49
2007-08-02,55.3,56.15,55.0,55.05,55.1,440385.0,244.27
2007-08-03,56.45,58.4,55.55,58.3,58.0,833861.0,478.62
2007-08-06,57.0,60.4,55.6,59.8,58.9,448342.0,258.44
2007-08-07,60.05,61.6,57.25,58.1,58.0,981509.0,572.94
