Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-04-30,37.85,37.85,34.2,34.35,34.6,77234.0,27.38
2007-05-03,35.5,35.5,33.1,34.0,34.1,11791.0,4.06
2007-05-04,35.25,35.25,32.95,33.75,33.35,8022.0,2.69
2007-05-07,33.55,33.95,32.05,33.6,33.6,3501.0,1.16
2007-05-08,33.5,33.6,32.5,32.95,32.8,2677.0,0.88
2007-05-09,34.0,34.0,30.0,32.75,32.5,5525.0,1.76
2007-05-10,33.4,33.5,32.1,32.4,32.45,125844.0,41.34
2007-05-11,32.3,33.0,31.8,32.35,32.45,2989.0,0.97
2007-05-14,31.4,33.75,31.4,32.05,32.4,6837.0,2.23
2007-05-15,37.9,37.9,32.5,33.5,33.85,5271.0,1.78
2007-05-16,33.55,37.7,33.55,35.9,35.75,29715.0,10.62
2007-05-17,37.0,39.4,36.05,38.2,38.9,86043.0,33.19
2007-05-18,37.75,38.65,37.1,38.3,38.0,8956.0,3.4
2007-05-21,38.0,38.75,37.6,38.25,38.45,8812.0,3.37
2007-05-22,38.25,38.85,37.7,38.25,38.35,48232.0,18.55
2007-05-23,38.25,39.0,37.25,37.85,38.05,11317.0,4.34
2007-05-24,37.25,37.25,35.55,35.6,35.8,4036.0,1.47
2007-05-25,35.5,37.5,35.05,35.05,35.5,10435.0,3.75
2007-05-28,35.05,37.0,35.05,35.15,35.5,5564.0,1.98
2007-05-29,35.0,36.85,35.0,36.85,36.05,3789.0,1.36
2007-05-30,35.05,37.0,35.05,36.5,36.4,4250.0,1.55
2007-05-31,37.45,38.0,35.4,36.45,36.45,6778.0,2.46
2007-06-01,37.85,37.85,32.0,36.35,35.9,4432.0,1.57
2007-06-04,34.6,35.8,34.6,35.3,35.35,2658.0,0.94
2007-06-05,34.95,38.5,34.95,37.5,37.55,15613.0,5.74
2007-06-06,35.8,37.0,35.5,36.0,35.95,25949.0,9.37
2007-06-07,35.35,35.85,34.0,35.2,35.05,5769.0,2.02
2007-06-08,35.25,35.5,34.0,34.2,34.85,17531.0,6.09
2007-06-11,35.15,36.5,34.5,34.5,34.65,9622.0,3.4
2007-06-12,34.15,35.0,33.2,34.35,33.65,9417.0,3.17
2007-06-13,33.5,33.8,33.1,33.6,33.6,2743.0,0.91
2007-06-14,33.05,34.0,33.05,33.5,33.5,3708.0,1.25
2007-06-15,33.5,33.95,32.7,33.8,33.1,16501.0,5.48
2007-06-18,33.5,34.4,33.45,34.15,34.15,7365.0,2.5
2007-06-19,33.4,34.25,33.0,33.05,33.4,12312.0,4.14
2007-06-20,33.0,34.15,33.0,34.1,34.1,8448.0,2.87
2007-06-21,34.15,34.5,34.0,34.0,34.0,9762.0,3.33
2007-06-22,34.25,34.9,33.6,34.4,34.9,9063.0,3.13
2007-06-25,35.0,36.2,35.0,35.35,35.65,11978.0,4.27
2007-06-26,36.0,36.0,34.2,36.0,35.85,6604.0,2.34
2007-06-27,35.2,36.25,35.05,36.0,35.7,4693.0,1.67
2007-06-28,36.0,37.75,35.0,36.4,35.75,30307.0,11.08
2007-06-29,37.45,37.8,36.0,36.35,36.65,16623.0,6.12
2007-07-02,37.65,38.0,36.55,36.85,37.1,14906.0,5.57
2007-07-03,37.0,37.95,35.7,35.7,35.95,8727.0,3.21
2007-07-04,36.35,36.9,36.15,36.8,36.6,4233.0,1.55
2007-07-05,37.0,37.2,35.1,35.5,35.45,11391.0,4.08
2007-07-06,36.9,37.0,35.5,35.95,35.65,14026.0,5.04
2007-07-09,37.4,42.8,37.15,42.8,42.8,96947.0,40.07
2007-07-10,44.0,47.8,43.25,44.15,44.3,496741.0,226.72
2007-07-11,41.5,45.0,41.5,42.0,42.15,92748.0,39.89
2007-07-12,43.0,43.0,38.7,40.0,40.0,59864.0,24.37
2007-07-13,41.0,41.0,38.75,39.4,39.1,25902.0,10.24
2007-07-16,40.0,44.3,39.4,41.25,40.8,104298.0,44.01
2007-07-17,41.4,42.5,40.55,41.0,41.1,58196.0,24.24
2007-07-18,40.6,41.0,40.0,40.75,40.45,15620.0,6.3
2007-07-19,40.55,41.0,39.4,40.0,40.15,19391.0,7.78
2007-07-20,40.0,40.2,38.5,38.65,39.0,30027.0,11.79
2007-07-23,38.55,39.95,37.2,38.9,38.8,13181.0,5.09
2007-07-24,38.05,38.8,37.75,38.0,38.0,7711.0,2.93
2007-07-25,37.8,37.8,35.5,36.7,36.05,22301.0,8.12
2007-07-26,36.2,37.0,36.0,36.1,36.3,18335.0,6.66
2007-07-27,30.0,35.95,30.0,35.0,34.55,18477.0,6.41
2007-07-30,35.0,35.55,34.2,34.2,34.35,11030.0,3.81
2007-07-31,33.5,34.8,33.0,33.7,33.65,15153.0,5.12
2007-08-01,33.1,35.1,32.3,33.25,32.65,22972.0,7.76
2007-08-02,33.9,34.75,32.6,33.0,33.35,20268.0,6.85
2007-08-03,33.9,34.5,32.8,32.8,33.15,9318.0,3.15
2007-08-06,30.6,34.5,30.6,34.5,34.25,6570.0,2.22
2007-08-07,34.5,35.9,34.5,34.95,35.1,14726.0,5.19
2007-08-08,35.0,36.5,34.6,35.95,35.45,14117.0,5.06
2007-08-09,36.0,36.5,33.3,34.35,34.45,9494.0,3.3
2007-08-10,34.5,34.7,33.15,34.0,33.85,1421.0,0.48
2007-08-13,32.5,35.95,32.5,35.95,35.45,9987.0,3.51
2007-08-14,38.0,38.0,35.5,37.1,36.9,12325.0,4.52
2007-08-16,34.55,36.35,34.0,34.25,34.5,8032.0,2.8
2007-08-17,34.1,34.75,33.5,33.6,33.8,11802.0,4.01
2007-08-20,35.1,35.2,31.9,33.25,33.05,29526.0,9.67
2007-08-21,33.05,33.8,32.0,32.0,32.05,19281.0,6.29
2007-08-22,28.0,36.0,28.0,32.5,32.85,7781.0,2.6
2007-08-23,33.0,34.15,32.85,33.4,33.05,13131.0,4.41
2007-08-24,33.8,33.95,32.55,33.0,33.0,5854.0,1.94
2007-08-27,30.5,36.95,30.5,33.4,33.45,2691.0,0.91
2007-08-28,33.0,34.15,32.9,34.15,34.05,3060.0,1.04
2007-08-29,33.5,34.45,33.5,33.55,33.65,5958.0,2.01
2007-08-30,34.25,34.25,32.05,32.55,32.6,136902.0,44.59
2007-08-31,33.8,33.85,32.05,32.35,32.2,37133.0,12.1
2007-09-03,33.65,33.65,32.55,33.2,33.15,18390.0,6.06
2007-09-04,33.15,33.8,33.15,33.8,33.55,13009.0,4.36
2007-09-05,33.8,34.0,33.3,34.0,33.7,8873.0,2.98
2007-09-06,33.4,34.2,33.0,33.5,34.05,7234.0,2.42
2007-09-07,33.0,34.9,32.75,34.6,34.15,15519.0,5.28
2007-09-10,34.0,37.0,34.0,36.15,35.85,47061.0,16.89
2007-09-11,36.15,42.75,36.15,42.35,41.85,324518.0,132.99
2007-09-12,44.95,44.95,40.05,40.15,40.95,199877.0,84.69
2007-09-13,41.2,48.3,40.35,45.5,45.85,447041.0,205.47
2007-09-14,47.0,48.3,42.5,43.3,43.35,178194.0,81.29
2007-09-17,44.25,46.3,42.5,42.5,42.95,61810.0,27.22
2007-09-18,44.0,44.3,42.1,42.4,42.45,72701.0,31.34
2007-09-19,43.6,44.0,41.3,41.55,41.9,65433.0,27.86
2007-09-20,42.5,42.9,41.0,41.2,41.3,36193.0,15.2
2007-09-21,40.2,41.3,39.15,39.15,39.55,32293.0,12.98
2007-09-24,39.15,40.25,38.7,38.9,38.8,29019.0,11.41
2007-09-25,38.0,40.0,37.35,38.4,38.4,29149.0,11.32
2007-09-26,38.5,43.8,37.55,40.25,40.75,91340.0,37.46
2007-09-27,42.15,42.9,40.4,40.5,40.7,20757.0,8.59
2007-09-28,41.25,41.5,39.0,39.1,39.2,20378.0,8.14
2007-10-01,40.8,41.25,39.0,41.0,40.9,34101.0,13.81
2007-10-03,39.0,41.9,38.25,39.15,39.25,30466.0,12.21
2007-10-04,38.7,39.95,38.5,39.4,39.05,9926.0,3.86
2007-10-05,39.5,41.0,37.85,37.85,38.25,102781.0,40.55
2007-10-08,39.0,39.0,35.1,35.45,35.5,28708.0,10.41
2007-10-09,34.6,37.35,34.25,36.5,36.7,14328.0,5.09
2007-10-10,36.6,38.75,36.55,36.8,37.35,37763.0,14.23
2007-10-11,36.0,39.2,36.0,36.9,37.2,10547.0,3.89
2007-10-12,36.85,38.4,36.0,36.0,36.1,18818.0,6.88
2007-10-15,35.5,39.5,35.5,38.0,38.1,30312.0,11.62
2007-10-16,37.5,37.55,36.1,36.5,36.7,50029.0,18.49
2007-10-17,35.0,37.25,33.05,37.25,36.4,7806.0,2.8
2007-10-18,34.0,43.7,34.0,38.2,38.8,945549.0,331.95
2007-10-19,38.2,39.8,36.3,36.8,37.5,32205.0,12.05
2007-10-22,36.55,37.6,36.0,36.0,36.2,8764.0,3.24
2007-10-23,37.05,38.0,36.5,36.5,36.55,13927.0,5.19
2007-10-24,36.15,37.95,35.7,36.0,36.05,19082.0,6.99
2007-10-25,36.65,36.65,35.6,35.8,35.85,61745.0,22.24
2007-10-26,36.9,37.0,35.8,36.0,36.0,12966.0,4.71
2007-10-29,35.55,37.5,35.55,36.5,36.95,14055.0,5.16
2007-10-30,37.1,37.1,35.1,35.3,35.5,23689.0,8.53
2007-10-31,35.5,42.6,35.5,42.5,42.0,437716.0,181.9
2007-11-01,44.5,45.0,37.0,37.1,37.65,116159.0,46.97
2007-11-02,35.85,45.2,35.85,45.0,45.2,344638.0,151.73
2007-11-05,44.9,54.25,43.0,48.85,48.85,213821.0,104.49
2007-11-06,49.75,52.0,45.0,45.75,45.4,113775.0,55.64
2007-11-07,46.0,53.5,44.25,49.2,49.45,192380.0,96.37
2007-11-08,49.35,52.9,47.55,47.65,48.5,99659.0,50.42
2007-11-09,49.75,51.2,49.15,49.85,49.55,16292.0,8.12
2007-11-12,44.55,50.5,44.5,49.15,49.35,35031.0,17.13
2007-11-13,50.0,52.1,49.55,50.25,50.0,85107.0,43.25
2007-11-14,51.45,54.45,49.25,54.0,53.75,123743.0,64.27
2007-11-15,59.15,59.15,54.1,55.9,55.7,280623.0,159.2
2007-11-16,56.75,57.65,55.0,56.55,56.1,93615.0,52.79
2007-11-19,57.0,60.95,57.0,60.15,60.2,175532.0,104.53
2007-11-20,59.0,62.0,58.0,60.1,59.6,150084.0,91.45
2007-11-21,58.0,65.0,57.15,64.5,63.7,267600.0,163.98
2007-11-22,63.0,66.0,61.1,65.1,65.0,169119.0,109.12
2007-11-23,66.0,66.9,61.15,62.5,62.7,66795.0,42.92
2007-11-26,61.6,69.0,61.6,67.1,67.05,221620.0,149.17
2007-11-27,68.45,68.45,63.5,63.5,64.85,123407.0,80.41
2007-11-28,64.85,66.45,60.0,60.0,60.3,76962.0,48.19
2007-11-29,61.5,65.0,59.65,62.55,62.85,71431.0,44.96
2007-11-30,63.85,64.5,62.05,63.75,64.0,121997.0,78.07
2007-12-03,65.0,65.0,61.0,61.2,61.3,10818.0,6.74
2007-12-04,61.2,62.0,58.25,60.0,60.0,20989.0,12.55
2007-12-05,60.0,63.0,57.0,62.0,62.2,55030.0,33.72
2007-12-06,61.0,62.45,60.0,60.0,60.75,23660.0,14.48
2007-12-07,62.0,62.0,57.75,58.8,58.3,9463.0,5.53
2007-12-10,61.0,61.25,55.5,61.25,61.25,51053.0,30.83
