Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-17,35.55,35.55,35.1,,,,
1998-03-24,35.1,35.1,35.1,35.1,35.1,100.0,0.04
1998-03-25,35.15,35.15,35.1,35.1,35.1,300.0,0.11
1998-03-26,35.8,36.25,35.8,36.25,36.25,200.0,0.07
1998-03-31,35.3,35.3,35.0,35.0,35.0,400.0,0.14
1998-04-02,35.1,35.1,35.0,35.0,35.0,500.0,0.18
1998-04-06,35.0,35.0,35.0,35.0,35.0,100.0,0.04
1998-04-07,35.0,35.0,34.1,34.1,34.1,300.0,0.1
1998-04-09,35.1,35.3,35.1,35.3,35.3,300.0,0.11
1998-04-10,36.0,38.85,36.0,38.85,38.5,600.0,0.23
1998-04-13,40.0,40.0,36.0,36.0,36.05,2800.0,1.06
1998-04-16,39.0,39.0,39.0,39.0,39.0,200.0,0.08
1998-04-17,40.05,40.1,40.0,40.0,40.0,400.0,0.16
1998-04-20,38.25,43.0,38.25,43.0,40.45,2700.0,1.05
1998-04-21,41.75,44.5,39.1,44.5,44.5,6400.0,2.73
1998-04-22,43.0,45.0,41.5,45.0,45.0,900.0,0.38
1998-04-23,43.8,46.0,43.8,45.0,45.0,1700.0,0.76
1998-04-24,41.5,41.5,41.5,41.5,41.5,100.0,0.04
1998-04-28,42.0,42.0,40.0,40.5,40.5,500.0,0.2
1998-04-29,40.0,40.0,40.0,40.0,40.0,100.0,0.04
1998-05-04,37.55,40.0,37.55,40.0,40.0,800.0,0.32
1998-05-05,39.5,39.5,39.5,39.5,39.5,100.0,0.04
1998-05-06,40.0,40.0,40.0,40.0,40.0,100.0,0.04
1998-05-08,38.5,38.5,38.5,38.5,38.5,300.0,0.12
1998-05-11,38.5,38.5,38.5,38.5,38.5,600.0,0.23
1998-05-12,39.95,39.95,38.5,38.5,38.5,200.0,0.08
1998-05-13,38.4,38.5,38.4,38.5,38.5,200.0,0.08
1998-05-15,39.75,39.75,39.75,39.75,39.75,600.0,0.24
1998-05-26,40.5,40.95,40.5,40.95,40.95,500.0,0.2
1998-06-03,39.0,39.0,39.0,39.0,39.0,500.0,0.2
1998-06-04,39.05,39.05,39.0,39.0,39.0,600.0,0.23
1998-06-05,39.0,39.0,39.0,39.0,39.0,100.0,0.04
1998-06-08,39.0,39.0,39.0,39.0,39.0,100.0,0.04
