Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,10.75,10.75,9.0,,,,
1998-03-24,9.1,9.1,8.95,8.95,8.95,500.0,0.05
1998-03-25,9.5,9.5,9.5,9.5,9.5,900.0,0.09
1998-03-26,8.5,8.5,8.5,8.5,8.5,100.0,0.01
1998-03-31,9.5,9.5,9.0,9.0,9.0,200.0,0.02
1998-04-01,10.0,10.35,10.0,10.35,10.35,200.0,0.02
1998-04-02,10.0,10.25,10.0,10.25,10.25,400.0,0.04
1998-04-09,11.0,11.0,9.8,11.0,11.0,2000.0,0.22
1998-04-10,12.1,12.1,12.1,12.1,12.1,500.0,0.06
1998-04-13,12.75,12.8,12.75,12.8,12.8,200.0,0.03
1998-04-15,14.1,14.1,14.1,14.1,14.1,100.0,0.01
1998-04-16,15.55,15.55,15.55,15.55,15.55,200.0,0.03
1998-04-17,16.0,16.0,16.0,16.0,16.0,300.0,0.05
1998-04-23,17.6,17.6,17.6,17.6,17.6,300.0,0.05
1998-04-24,17.75,19.4,17.75,19.4,19.4,1100.0,0.21
1998-04-27,19.4,19.5,18.25,18.25,18.25,900.0,0.17
1998-04-28,18.5,18.5,17.0,17.0,17.0,1000.0,0.17
1998-04-29,17.0,17.25,17.0,17.25,17.25,500.0,0.09
1998-04-30,17.0,18.0,17.0,18.0,18.0,500.0,0.09
1998-05-04,16.35,16.35,16.35,16.35,16.35,100.0,0.02
1998-05-05,16.5,16.5,16.3,16.3,16.3,200.0,0.03
1998-05-06,17.0,17.0,17.0,17.0,17.0,100.0,0.02
1998-05-08,18.0,18.0,17.5,17.5,17.5,400.0,0.07
1998-05-11,17.5,17.5,17.5,17.5,17.5,200.0,0.04
1998-05-18,17.9,17.9,17.9,17.9,17.9,200.0,0.04
1998-05-19,17.5,17.5,16.45,16.75,16.75,700.0,0.12
1998-05-20,17.95,17.95,16.1,17.45,17.4,1300.0,0.22
1998-05-21,16.55,16.55,16.55,16.55,16.55,100.0,0.02
1998-05-22,15.35,15.35,15.0,15.0,15.0,500.0,0.08
1998-05-25,14.0,14.0,13.75,13.75,13.75,200.0,0.03
1998-05-26,13.75,13.75,13.75,13.75,13.75,200.0,0.03
1998-05-28,14.0,14.0,13.75,13.75,13.75,200.0,0.03
1998-05-29,13.05,14.0,13.05,14.0,14.0,500.0,0.07
